n_killed,latitude,longitude
8,29.7555,-82.8626
7,40.2459,-75.282
6,30.0405,-95.4424
5,40.1109,-111.665
5,36.7843,-81.7848
5,36.1666,-115.062
5,26.4815,-81.8213
5,43.4981,-70.449
5,38.5631,-77.9829
5,48.092,-122.155
5,39.6855,-79.8588
4,34.0942,-81.1525
4,29.973,-95.6542
4,41.2236,-84.339
4,39.717,-86.1136
4,41.4838,-120.545
4,41.7142,-87.7481
4,31.133,-97.7944
4,35.8423,-90.7043
4,28.0985,-82.467
4,34.081,-117.74
4,34.4144,-119.857
4,33.5904,-117.656
4,37.236,-77.4669
4,36.1332,-95.8551
4,41.8815,-87.9329
4,36.1329,-95.8553
4,37.509,-77.4748
4,42.6914,-73.8712
4,36.8285,-87.8527
4,37.2432,-93.2613
4,39.8751,-74.6662
4,45.8562,-97.1072
4,41.518,-81.6234
4,42.2938,-89.1072
4,43.2367,-77.5261
3,33.4464,-112.258
3,31.489,-100.492
3,26.6905,-80.0517
3,41.0967,-112.068
3,41.7049,-85.9158
3,26.2705,-81.5607
3,26.7056,-80.0364
3,26.0919,-81.7255
3,31.1322,-97.7682
3,39.2152,-76.8577
3,41.9422,-91.725
3,41.6452,-87.7186
3,39.5021,-86.045
3,33.7453,-85.0025
3,39.8814,-105.012
3,42.3838,-83.2509
3,35.2936,-80.5974
3,39.9526,-75.1652
3,25.8589,-80.2936
3,38.8522,-76.8935
3,39.8667,-104.946
3,43.1428,-77.6582
3,34.6774,-94.8393
3,34.6391,-82.4525
3,41.3483,-83.116
3,35.7342,-81.7117
3,33.8577,-116.533
3,30.0588,-94.1156
3,28.5099,-81.276
3,28.5099,-81.276
3,37.3949,-120.605
3,28.4936,-81.5125
3,36.1646,-79.7321
3,30.5876,-91.1741
3,39.8009,-85.9984
3,39.7967,-86.0094
3,32.5069,-94.7305
3,34.524,-93.1231
3,35.0247,-85.3877
3,32.5716,-80.8153
3,32.546,-80.7123
3,34.294,-77.7675
3,34.4473,-82.995
3,34.4575,-83.0008
3,34.089,-88.6222
3,29.7604,-95.3698
3,33.031,-96.613
3,34.0658,-117.284
3,39.8471,-86.2682
3,33.684,-78.8883
3,27.9656,-81.9732
3,32.7586,-97.3973
3,41.4492,-90.1489
3,37.4511,-120.849
3,39.8047,-86.112
3,36.9102,-76.2571
3,37.4514,-120.849
3,32.5317,-92.1639
3,32.7586,-97.3973
3,32.7586,-97.3973
3,32.6781,-97.3321
3,39.6128,-77.7618
3,41.7488,-87.7097
3,33.6788,-112.53
3,33.96,-118.283
3,41.0975,-88.4347
3,40.6786,-89.5594
3,28.5273,-99.8599
3,37.6536,-97.2269
3,29.6278,-95.5417
3,29.5923,-98.6248
3,29.454,-98.5782
3,37.8081,-94.3652
3,34.1751,-118.147
3,41.7226,-111.819
3,38.0205,-121.325
3,33.9699,-117.253
3,36.0991,-115.09
3,34.969,-78.9219
3,32.6865,-96.7828
3,26.3748,-98.799
3,26.7554,-80.0723
3,26.7603,-80.0737
3,25.9492,-80.3409
3,35.1556,-78.9183
3,40.7603,-86.7753
3,35.3815,-118.974
3,38.8682,-76.8916
3,35.0383,-89.8579
3,37.8665,-82.5388
3,43.3639,-124.226
3,33.828,-84.951
3,34.286,-118.446
3,28.5457,-82.3908
3,32.2361,-110.781
3,38.8935,-94.594
3,40.8564,-74.0735
3,39.9138,-83.7866
3,33.4905,-86.9639
3,27.6783,-97.2762
3,33.5683,-86.7649
3,30.3871,-81.6722
3,29.9648,-90.0376
3,38.0014,-121.293
3,34.5429,-97.9615
3,33.9505,-84.2511
3,29.0813,-81.0649
