State,state_id_y,County,Region Code,n_incidents,lawtotal,poverty_percent,firearms_agencies,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,H_MALE,H_FEMALE
Alabama,AL,Autauga,1001,39,10,10.8,19,55347,26857,28490,20925,21840,5003,5601,121,146,276,388,816,757
Alabama,AL,Baldwin,1003,85,10,10,60,203709,99286,104423,86524,90838,9477,9954,740,765,852,1055,4873,4395
Alabama,AL,Barbour,1005,20,10,24.9,9,26489,14148,12341,7099,6176,6728,5910,90,63,57,61,680,492
Alabama,AL,Bibb,1007,8,10,15.6,3,22583,12170,10413,8863,8316,3117,1900,45,51,19,33,328,216
Alabama,AL,Blount,1009,20,10,12.1,15,57673,28495,29178,27308,27926,596,488,174,203,65,99,2826,2338
Alabama,AL,Bullock,1011,18,10,27.8,3,10696,5857,4839,1797,1109,3898,3585,41,49,12,13,442,363
Alabama,AL,Butler,1013,26,10,19.6,5,20154,9371,10783,5157,5636,4003,4921,34,37,97,103,127,109
Alabama,AL,Calhoun,1015,95,10,16.3,49,115620,55755,59865,42610,44760,11312,13174,332,279,437,587,2263,1916
Alabama,AL,Chambers,1017,27,10,16.4,13,34123,16340,17783,9574,10174,6328,7236,45,47,193,131,410,281
Alabama,AL,Cherokee,1019,14,10,14.3,11,25859,12839,13020,11897,12060,614,609,86,67,25,47,201,197
Alabama,AL,Chilton,1021,21,10,15.1,11,43943,21596,22347,18814,19442,2247,2378,118,98,80,113,1920,1465
Alabama,AL,Choctaw,1023,7,10,19.3,6,13170,6252,6918,3669,3825,2526,3034,13,11,9,13,50,50
Alabama,AL,Clarke,1025,2,10,20.7,15,24675,11665,13010,6461,6884,5020,5894,44,60,53,57,171,177
Alabama,AL,Clay,1027,3,10,14.8,4,13555,6688,6867,5534,5664,969,1006,35,46,17,20,261,198
Alabama,AL,Cleburne,1029,7,10,13.9,6,15018,7424,7594,7018,7162,261,285,33,33,8,22,223,154
Alabama,AL,Coffee,1031,34,10,13.2,19,51211,25418,25793,19460,19489,4499,4694,375,345,287,556,1863,1565
Alabama,AL,Colbert,1033,39,10,13.9,14,54354,26174,28180,21208,22583,4159,4787,181,156,123,153,794,619
Alabama,AL,Conecuh,1035,3,10,21.9,3,12672,6091,6581,3238,3294,2733,3179,27,24,9,16,124,92
Alabama,AL,Coosa,1037,7,10,14.3,6,10724,5386,5338,3640,3567,1633,1646,42,25,6,15,132,109
Alabama,AL,Covington,1039,20,10,16.6,23,37835,18239,19596,15391,16413,2335,2652,134,125,81,108,305,304
Alabama,AL,Crenshaw,1041,9,10,16.2,10,13963,6811,7152,4919,5091,1596,1782,36,40,119,128,137,118
Alabama,AL,Cullman,1043,32,10,13.7,24,82005,40498,41507,38789,39944,696,547,264,239,186,253,1920,1700
Alabama,AL,Dale,1045,28,10,16.9,14,49565,24420,25145,18598,18361,4652,5363,214,207,261,442,1632,1494
Alabama,AL,Dallas,1047,146,10,28.5,9,41131,19038,22093,5752,6124,12980,15675,50,37,102,76,220,164
Alabama,AL,DeKalb,1049,38,10,18.1,27,71130,35074,36056,32402,33334,784,762,727,770,118,144,5150,4903
Alabama,AL,Elmore,1051,46,10,11.1,30,81468,39554,41914,29801,31898,8635,8746,194,171,238,352,1141,1152
Alabama,AL,Escambia,1053,28,10,19.6,16,37789,19370,18419,11750,11661,6560,5706,651,656,44,66,452,340
Alabama,AL,Etowah,1055,76,10,15.7,23,103057,49751,53306,40552,42940,7482,8686,347,275,439,406,2057,1771
Alabama,AL,Fayette,1057,1,10,16,4,16759,8284,8475,7160,7258,969,1061,39,36,16,27,155,114
Alabama,AL,Franklin,1059,21,10,17.3,12,31696,15848,15848,14345,14627,894,695,265,197,54,60,2907,2285
Alabama,AL,Geneva,1061,11,10,18,9,26777,13191,13586,11529,11775,1239,1343,137,133,44,67,563,476
Alabama,AL,Greene,1063,7,10,27.4,1,8479,4024,4455,799,776,3181,3624,11,11,9,9,38,48
Alabama,AL,Henry,1067,3,10,13.7,7,17221,8327,8894,5959,6202,2154,2504,37,24,58,68,241,215
Alabama,AL,Houston,1069,95,10,16.8,25,104173,49860,54313,35370,37525,12847,14920,254,287,403,559,1839,1684
Alabama,AL,Jackson,1071,20,10,15.8,17,52419,25790,26629,23551,24358,957,945,411,441,128,149,807,721
Alabama,AL,Jefferson,1073,1453,10,16.1,106,660367,311844,348523,172166,182793,129536,154766,1107,1093,5196,5622,13392,11648
Alabama,AL,Lamar,1075,3,10,16.6,3,13886,6800,7086,5976,6129,708,824,10,17,4,8,113,85
Alabama,AL,Lauderdale,1077,57,10,13.8,25,92596,44388,48208,38662,41671,4386,5210,212,207,394,396,1216,1111
Alabama,AL,Lawrence,1079,11,10,13.9,8,33115,16127,16988,12621,13284,1766,1935,954,973,35,47,385,350
Alabama,AL,Lee,1081,129,10,18.5,23,156993,77178,79815,55648,55317,17160,20218,398,294,2673,2668,3385,2660
Alabama,AL,Limestone,1083,72,10,10.9,33,91663,46075,45588,37485,37482,6501,5917,366,367,606,767,2956,2597
Alabama,AL,Lowndes,1085,9,10,25.7,2,10458,4961,5497,1374,1361,3516,4055,16,14,12,20,70,71
Alabama,AL,Macon,1087,29,10,24.8,4,19105,8773,10332,1631,1627,6949,8507,17,21,42,23,172,132
Alabama,AL,Madison,1089,604,10,12.1,134,353089,172295,180794,121534,122496,40728,46615,1484,1485,4085,5311,8894,8022
Alabama,AL,Marengo,1091,12,10,19.6,6,20028,9403,10625,4605,4888,4626,5580,31,22,25,36,263,246
Alabama,AL,Marion,1093,7,10,15.6,20,30168,14985,15183,13903,14362,783,526,57,56,36,53,430,330
Alabama,AL,Marshall,1095,56,10,18.2,34,94725,46569,48156,43317,45179,1463,1215,549,463,295,442,6791,5540
Alabama,AL,Mobile,1097,706,10,17.4,80,415395,198416,216979,121179,127284,67575,79897,1936,2078,4292,4307,6045,5467
Alabama,AL,Monroe,1099,3,10,21.5,7,21673,10264,11409,5853,6207,4061,4813,139,148,47,49,131,132
Alabama,AL,Montgomery,1101,495,10,19,33,226519,107326,119193,42900,44255,59443,69616,347,381,3099,3188,4090,3624
Alabama,AL,Morgan,1103,120,10,13.1,32,119565,58899,60666,49247,50380,7297,7875,689,604,385,544,5165,4358
Alabama,AL,Perry,1105,9,10,31.9,4,9652,4522,5130,1508,1518,2954,3541,13,7,27,22,73,66
Alabama,AL,Pickens,1107,6,10,19.4,4,20864,10419,10445,6314,5833,3899,4447,31,20,34,31,718,307
Alabama,AL,Pike,1109,39,10,22.3,13,33046,15851,17195,9486,9777,5509,6723,118,113,446,292,373,359
Alabama,AL,Randolph,1111,3,10,15.5,8,22696,11027,11669,8661,8950,2103,2445,47,55,34,51,350,341
Alabama,AL,Russell,1113,60,10,18,17,59660,29038,30622,15387,15644,12455,13637,171,161,195,335,1637,1516
Alabama,AL,Shelby,1117,43,10,7.1,52,208713,101483,107230,85223,89195,12238,13825,412,366,2136,2389,6507,5619
Alabama,AL,St. Clair,1115,17,10,10.7,17,87074,43450,43624,37848,38581,4540,3853,180,156,295,438,1071,968
Alabama,AL,Sumter,1119,13,10,27.7,5,13103,5920,7183,1603,1798,4202,5254,5,12,80,83,79,64
Alabama,AL,Talladega,1121,39,10,17.3,26,80862,39163,41699,25705,26769,12400,13932,182,140,282,241,1139,704
Alabama,AL,Tallapoosa,1123,38,10,17.1,11,40844,19897,20947,14214,14594,5251,5913,76,84,96,112,546,417
Alabama,AL,Tuscaloosa,1125,253,10,15.7,26,203976,98207,105769,65984,67822,29168,34847,369,319,1481,1515,3640,3126
Alabama,AL,Walker,1127,27,10,17.6,19,65294,31755,33539,28930,30580,2006,2153,173,151,157,172,882,693
Alabama,AL,Washington,1129,2,10,15.9,7,16804,8160,8644,5472,5571,1928,2152,614,716,49,53,117,114
Alabama,AL,Wilcox,1131,11,10,25.9,7,11059,5274,5785,1536,1599,3677,4136,11,13,9,5,57,55
Alabama,AL,Winston,1133,2,10,15.7,6,23877,11732,12145,11261,11696,139,124,99,101,23,49,369,321
Arizona,AZ,Apache,4001,7,8,31.2,21,71474,35321,36153,8598,8057,369,339,25534,26974,122,146,2500,2125
Arizona,AZ,Cochise,4003,46,8,15.5,88,126427,64350,62077,56386,54638,3422,2533,1212,1019,1105,1660,21920,21911
Arizona,AZ,Coconino,4005,43,8,17,66,139097,68731,70366,46124,46235,1188,1159,18222,19397,1140,1468,9699,9672
Arizona,AZ,Gila,4007,8,8,19.2,45,53159,26350,26809,21120,21291,273,232,4339,4567,157,256,5015,4937
Arizona,AZ,Graham,4009,9,8,17.8,25,37666,20143,17523,16404,14246,588,207,2615,2600,140,106,6999,5349
Arizona,AZ,Greenlee,4011,1,8,8.4,6,9529,4940,4589,4472,4201,113,72,170,174,45,35,2246,2206
Arizona,AZ,La Paz,4012,8,8,17.8,7,20152,10323,9829,8061,7437,131,126,1748,1861,89,107,2826,2446
Arizona,AZ,Maricopa,4013,1554,8,15,1008,4167947,2059860,2108087,1730649,1769324,124261,121032,56741,59887,83635,92256,636611,633279
Arizona,AZ,Mohave,4015,75,8,16.1,119,204737,103017,101720,94668,93434,1706,1091,3008,3058,989,1532,17396,15714
Arizona,AZ,Navajo,4017,14,8,25,40,108277,54272,54005,28312,26540,889,527,23628,25304,297,486,6667,5486
Arizona,AZ,Pima,4019,357,8,17,245,1010025,496438,513587,422268,439621,22518,19191,21398,21957,14630,17262,179633,187742
Arizona,AZ,Pinal,4021,69,8,13.8,87,406584,211982,194602,174428,163412,11217,9121,15373,12090,3836,3945,64322,54679
Arizona,AZ,Santa Cruz,4023,7,8,19,14,46461,22266,24195,21339,23269,232,209,319,300,153,202,18203,20234
Arizona,AZ,Yavapai,4025,42,8,12.6,191,222255,108507,113748,101461,106147,1160,969,2422,2475,945,1477,16346,15677
Arizona,AZ,Yuma,4027,51,8,17.8,35,204275,104990,99285,95211,91063,3519,2073,2462,2114,1480,1761,64014,62556
Arkansas,AR,Arkansas,5001,7,11,16,8,18433,8918,9515,6581,6816,2103,2385,32,40,77,101,334,222
Arkansas,AR,Ashley,5003,6,11,16.1,18,20838,10040,10798,7365,7625,2414,2889,79,82,24,29,590,514
Arkansas,AR,Baxter,5005,39,11,11.6,34,41053,19803,21250,19134,20595,99,67,148,134,88,142,418,418
Arkansas,AR,Benton,5007,70,11,8.8,2400,249672,123630,126042,110159,113384,2741,2301,2282,2447,4864,4377,21012,19822
Arkansas,AR,Boone,5009,11,11,12.9,32,37222,18323,18899,17618,18170,95,93,144,155,77,140,424,460
Arkansas,AR,Bradley,5011,4,11,19.9,5,11094,5416,5678,3755,3823,1437,1650,95,92,22,29,907,706
Arkansas,AR,Carroll,5015,6,11,13.6,24,27704,13623,14081,12813,13284,128,118,165,183,125,132,2118,1991
Arkansas,AR,Chicot,5017,3,11,24.4,5,11027,5416,5611,2462,2385,2853,3104,26,30,30,32,334,276
Arkansas,AR,Clark,5019,5,11,17.6,12,22633,10835,11798,8034,8548,2492,2916,72,75,78,90,501,502
Arkansas,AR,Clay,5021,6,11,15.6,14,15109,7401,7708,7204,7491,58,51,27,39,19,17,157,138
