date,state_name,state_id,county_name,city_or_county,city,n_killed,n_injured,n_total
1/1/2014,Georgia,,Bibb,Bibb,,0,1,1
1/1/2014,Virginia,,Prince William,Prince William,,0,1,1
1/1/2014,North Carolina,,Duplin,Duplin,,0,1,1
1/1/2014,Oklahoma,,Okmulgee,Okmulgee,,0,2,2
1/1/2014,Virginia,,Russell,Russell,,1,0,1
1/1/2014,Kentucky,,Leslie,Leslie,,0,1,1
1/1/2014,Kentucky,,Elliott,Elliott,,0,1,1
1/1/2014,North Carolina,,Davidson,Davidson,,1,1,2
1/1/2014,North Carolina,,Columbus,Columbus,,1,0,1
1/2/2014,Maryland,,Prince George's,Prince George's,,0,0,0
1/2/2014,Pennsylvania,,Montgomery,Montgomery,,0,0,0
1/2/2014,West Virginia,,Boone,Boone,,2,0,2
1/3/2014,Texas,,Harris,Harris,,0,0,0
1/3/2014,Montana,,Yellowstone,Yellowstone,,1,0,1
1/3/2014,North Carolina,,Pitt,Pitt,,0,0,0
1/3/2014,Washington,,Yakima,Yakima,,1,0,1
1/3/2014,Tennessee,,Campbell,Campbell,,0,0,0
1/3/2014,South Carolina,,Berkeley,Berkeley,,0,0,0
1/3/2014,Mississippi,,Jones,Jones,,0,0,0
1/4/2014,Texas,,Harris,Harris,,0,0,0
1/4/2014,Kentucky,,Boyd,Boyd,,0,0,0
1/4/2014,Texas,,Bee,Bee,,1,0,1
1/4/2014,New York,,Monroe,Monroe,,0,3,3
1/4/2014,North Carolina,,Guilford,Guilford,,0,0,0
1/5/2014,North Carolina,,Onslow,Onslow,,1,0,1
1/5/2014,Delaware,,New Castle,New Castle,,0,0,0
1/5/2014,Delaware,,New Castle,New Castle,,0,0,0
1/6/2014,Kentucky,,Muhlenberg,Muhlenberg,,0,0,0
1/6/2014,Montana,,Ravalli,Ravalli,,2,0,2
1/6/2014,West Virginia,,Harrison,Harrison,,1,0,1
1/6/2014,North Carolina,,Halifax,Halifax,,0,0,0
1/7/2014,Kentucky,,Taylor,Taylor,,1,0,1
1/7/2014,Wyoming,,Park,Park,,1,0,1
1/7/2014,New Mexico,,Torrance,Torrance,,1,0,1
1/7/2014,Georgia,,Clayton,Clayton,,0,1,1
1/7/2014,Wisconsin,,Dane,Dane,,0,1,1
1/8/2014,Georgia,,Richmond,Richmond,,0,1,1
1/8/2014,Maryland,,Worcester,Worcester,,0,0,0
1/9/2014,South Carolina,,Richland,Richland,,0,2,2
1/9/2014,Florida,,Columbia,Columbia,,0,1,1
1/9/2014,South Carolina,,Orangeburg,Orangeburg,,1,2,3
1/9/2014,Alabama,,Limestone,Limestone,,1,0,1
1/9/2014,Tennessee,,Carter,Carter,,1,0,1
1/9/2014,Georgia,,Dougherty,Dougherty,,0,0,0
1/9/2014,Texas,,Harris,Harris,,0,0,0
1/10/2014,Texas,,Brazos,Brazos,,0,0,0
1/10/2014,California,,Riverside,Riverside,,1,0,1
1/10/2014,Virginia,,Henrico,Henrico,,0,0,0
1/10/2014,Georgia,,Bibb,Bibb,,0,1,1
1/10/2014,Virginia,,York,York,,0,1,1
1/11/2014,Tennessee,,Sullivan,Sullivan,,0,1,1
1/11/2014,North Carolina,,Wake,Wake,,1,0,1
