date,state_name,state_id,county_name,city_or_county,city,n_killed,n_injured,n_total
1/1/2014,Alabama,AL,Crenshaw,Crenshaw,,1,0,1
1/1/2014,Mississippi,MS,Franklin,Franklin,,0,0,0
1/2/2014,California,CA,Huntington,Huntington,,0,1,1
1/3/2014,West Virginia,WV,Wilkinson,Wilkinson,,0,1,1
1/3/2014,Florida,FL,Broward,Broward,,0,0,0
1/4/2014,Arkansas,AR,Leflore,Leflore,,0,0,0
1/4/2014,Florida,FL,Broward,Broward,,0,0,0
1/4/2014,Virginia,VA,Henrico,Henrico,,0,1,1
1/5/2014,Virginia,VA,Henrico,Henrico,,0,0,0
1/5/2014,Ohio,OH,Erie,Erie,,1,3,4
1/5/2014,Florida,FL,Charlotte,Charlotte,,0,0,0
1/5/2014,New Jersey,NJ,Orange,Orange,,0,1,1
1/5/2014,Maryland,MD,Washington,Washington,,0,0,0
1/6/2014,Louisiana,LA,Bossier,Bossier,,0,0,0
1/6/2014,Maryland,MD,Hanover,Hanover,,0,0,0
1/7/2014,Florida,FL,Broward,Broward,,0,0,0
1/8/2014,New York,NY,Amherst,Amherst,,0,0,0
1/9/2014,Florida,FL,Manatee,Manatee,,0,0,0
1/10/2014,Florida,FL,Collier,Collier,,0,0,0
1/10/2014,Florida,FL,Bay,Bay,,0,0,0
1/12/2014,Florida,FL,Miami-Dade,Miami-Dade,,1,0,1
1/12/2014,Alabama,AL,Blount,Blount,,1,0,1
1/12/2014,New Hampshire,NH,Windham,Windham,,0,0,0
1/12/2014,Alabama,AL,Tallapoosa,Tallapoosa,,1,0,1
1/13/2014,Virginia,VA,Henrico,Henrico,,0,0,0
1/13/2014,Mississippi,MS,Claiborne,Claiborne,,1,0,1
1/13/2014,California,CA,Mesa,Mesa,,0,1,1
1/13/2014,Virginia,VA,York,York,,0,0,0
1/13/2014,Maryland,MD,Hanover,Hanover,,0,0,0
1/14/2014,New York,NY,Clay,Clay,,0,0,0
1/14/2014,Mississippi,MS,Warren,Warren,,0,2,2
1/15/2014,Massachusetts,MA,Dorchester,Dorchester,,1,0,1
1/15/2014,Florida,FL,Broward,Broward,,0,1,1
1/16/2014,Virginia,VA,Middlesex,Middlesex,,0,0,0
1/19/2014,Georgia,GA,Cobb,Cobb,,0,0,0
1/19/2014,Texas,TX,Tulsa,Tulsa,,1,0,1
1/20/2014,Florida,FL,Putnam,Putnam,,0,1,1
1/21/2014,Florida,FL,Manatee,Manatee,,0,2,2
1/21/2014,Washington,WA,Thurston,Thurston,,0,1,1
1/22/2014,Virginia,VA,York,York,,0,2,2
1/23/2014,Virginia,VA,Henrico,Henrico,,0,0,0
1/24/2014,Massachusetts,MA,Dorchester,Dorchester,,1,0,1
1/24/2014,Florida,FL,Manatee,Manatee,,1,0,1
1/25/2014,Florida,FL,Manatee,Manatee,,0,0,0
1/25/2014,Florida,FL,Broward,Broward,,0,0,0
1/26/2014,Florida,FL,Volusia,Volusia,,0,1,1
1/26/2014,Maryland,MD,Hanover,Hanover,,0,0,0
1/26/2014,Connecticut,CT,Stafford,Stafford,,0,0,0
1/27/2014,Florida,FL,Manatee,Manatee,,0,1,1
1/27/2014,Florida,FL,Collier,Collier,,0,0,0
1/28/2014,New York,NY,Amherst,Amherst,,0,0,0
1/29/2014,Florida,FL,Collier,Collier,,0,0,0
2/1/2014,Maryland,MD,Hanover,Hanover,,0,0,0
2/2/2014,North Carolina,NC,Clarendon,Clarendon,,1,0,1
2/4/2014,Alaska,AK,Barrow,Barrow,,1,0,1
2/6/2014,Florida,FL,Broward,Broward,,0,0,0
2/6/2014,New York,NY,Knox,Knox,,0,0,0
2/7/2014,Florida,FL,Hillsborough,Hillsborough,,0,0,0
2/8/2014,New York,NY,Amherst,Amherst,,0,1,1
2/9/2014,Virginia,VA,Henrico,Henrico,,0,1,1
2/10/2014,Tennessee,TN,Madison,Madison,,1,0,1
2/10/2014,Florida,FL,Miami-Dade,Miami-Dade,,0,2,2
2/14/2014,Virginia,VA,Henrico,Henrico,,0,0,0
2/15/2014,Virginia,VA,Henrico,Henrico,,0,0,0
2/18/2014,North Carolina,NC,Colfax,Colfax,,0,0,0
2/22/2014,Virginia,VA,Henrico,Henrico,,0,1,1
2/23/2014,Florida,FL,Manatee,Manatee,,1,1,2
3/2/2014,Michigan,MI,Erie,Erie,,0,0,0
3/5/2014,Massachusetts,MA,Ashland,Ashland,,0,0,0
3/14/2014,South Carolina,SC,Berkeley,Berkeley,,0,0,0
3/14/2014,Connecticut,CT,Windsor,Windsor,,0,0,0
3/15/2014,Massachusetts,MA,Dorchester,Dorchester,,0,1,1
3/16/2014,Hawaii,HI,Kauai,Kauai,,0,1,1
3/17/2014,Texas,TX,Porter,Porter,,1,0,1
3/19/2014,Wisconsin,WI,Union,Union,,0,0,0
3/20/2014,Maine,ME,Bristol,Bristol,,0,1,1
3/21/2014,New Jersey,NJ,Orange,Orange,,0,0,0
3/21/2014,Maine,ME,Litchfield,Litchfield,,0,0,0
