date,state_name,state_id,county_name,city_or_county,city,n_killed,n_injured,n_total
1/1/2014,Georgia,GA,Bibb,Bibb,,0,1,1
1/1/2014,Virginia,VA,Prince William,Prince William,,0,1,1
1/1/2014,North Carolina,NC,Duplin,Duplin,,0,1,1
1/1/2014,Oklahoma,OK,Okmulgee,Okmulgee,,0,2,2
1/1/2014,Virginia,VA,Russell,Russell,,1,0,1
1/1/2014,Kentucky,KY,Leslie,Leslie,,0,1,1
1/1/2014,Kentucky,KY,Elliott,Elliott,,0,1,1
1/1/2014,North Carolina,NC,Davidson,Davidson,,1,1,2
1/1/2014,North Carolina,NC,Columbus,Columbus,,1,0,1
1/2/2014,Maryland,MD,Prince George's,Prince George's,,0,0,0
1/2/2014,Pennsylvania,PA,Montgomery,Montgomery,,0,0,0
1/2/2014,West Virginia,WV,Boone,Boone,,2,0,2
1/3/2014,Texas,TX,Harris,Harris,,0,0,0
1/3/2014,Montana,MT,Yellowstone,Yellowstone,,1,0,1
1/3/2014,North Carolina,NC,Pitt,Pitt,,0,0,0
1/3/2014,Washington,WA,Yakima,Yakima,,1,0,1
1/3/2014,Tennessee,TN,Campbell,Campbell,,0,0,0
1/3/2014,South Carolina,SC,Berkeley,Berkeley,,0,0,0
1/3/2014,Mississippi,MS,Jones,Jones,,0,0,0
1/4/2014,Texas,TX,Harris,Harris,,0,0,0
1/4/2014,Kentucky,KY,Boyd,Boyd,,0,0,0
1/4/2014,Texas,TX,Bee,Bee,,1,0,1
1/4/2014,New York,NY,Monroe,Monroe,,0,3,3
1/4/2014,North Carolina,NC,Guilford,Guilford,,0,0,0
1/5/2014,North Carolina,NC,Onslow,Onslow,,1,0,1
1/5/2014,Delaware,DE,New Castle,New Castle,,0,0,0
1/5/2014,Delaware,DE,New Castle,New Castle,,0,0,0
1/6/2014,Kentucky,KY,Muhlenberg,Muhlenberg,,0,0,0
1/6/2014,Montana,MT,Ravalli,Ravalli,,2,0,2
1/6/2014,West Virginia,WV,Harrison,Harrison,,1,0,1
1/6/2014,North Carolina,NC,Halifax,Halifax,,0,0,0
1/7/2014,Kentucky,KY,Taylor,Taylor,,1,0,1
1/7/2014,Wyoming,WY,Park,Park,,1,0,1
1/7/2014,New Mexico,NM,Torrance,Torrance,,1,0,1
1/7/2014,Georgia,GA,Clayton,Clayton,,0,1,1
1/7/2014,Wisconsin,WI,Dane,Dane,,0,1,1
1/8/2014,Georgia,GA,Richmond,Richmond,,0,1,1
1/8/2014,Maryland,MD,Worcester,Worcester,,0,0,0
1/9/2014,South Carolina,SC,Richland,Richland,,0,2,2
1/9/2014,Florida,FL,Columbia,Columbia,,0,1,1
1/9/2014,South Carolina,SC,Orangeburg,Orangeburg,,1,2,3
1/9/2014,Alabama,AL,Limestone,Limestone,,1,0,1
1/9/2014,Tennessee,TN,Carter,Carter,,1,0,1
1/9/2014,Georgia,GA,Dougherty,Dougherty,,0,0,0
1/9/2014,Texas,TX,Harris,Harris,,0,0,0
1/10/2014,Texas,TX,Brazos,Brazos,,0,0,0
1/10/2014,California,CA,Riverside,Riverside,,1,0,1
1/10/2014,Virginia,VA,Henrico,Henrico,,0,0,0
1/10/2014,Georgia,GA,Bibb,Bibb,,0,1,1
1/10/2014,Virginia,VA,York,York,,0,1,1
1/11/2014,Tennessee,TN,Sullivan,Sullivan,,0,1,1
1/11/2014,North Carolina,NC,Wake,Wake,,1,0,1
1/11/2014,Kansas,KS,Reno,Reno,,0,1,1
1/11/2014,South Carolina,SC,Richland,Richland,,0,0,0
1/11/2014,Alabama,AL,Chilton,Chilton,,0,1,1
1/12/2014,Georgia,GA,Bibb,Bibb,,0,3,3
1/12/2014,Illinois,IL,Winnebago,Winnebago,,0,2,2
1/12/2014,South Carolina,SC,Charleston,Charleston,,0,0,0
1/12/2014,Tennessee,TN,Hawkins,Hawkins,,0,1,1
1/12/2014,Kentucky,KY,Ohio,Ohio,,0,1,1
1/12/2014,Georgia,GA,Clayton,Clayton,,0,1,1
1/13/2014,Virginia,VA,Henrico,Henrico,,1,0,1
1/13/2014,Maryland,MD,Prince George's,Prince George's,,1,0,1
1/13/2014,Georgia,GA,Richmond,Richmond,,1,0,1
1/13/2014,Virginia,VA,Henrico,Henrico,,0,0,0
1/13/2014,North Carolina,NC,Wayne,Wayne,,2,0,2
1/13/2014,North Carolina,NC,Hoke,Hoke,,0,1,1
1/14/2014,Indiana,IN,Steuben,Steuben,,0,0,0
1/14/2014,Illinois,IL,Kane,Kane,,0,0,0
1/14/2014,Texas,TX,Harris,Harris,,0,0,0
1/14/2014,Maryland,MD,Prince George's,Prince George's,,0,0,0
1/14/2014,Texas,TX,Harris,Harris,,0,0,0
1/14/2014,California,CA,Shasta,Shasta,,0,1,1
1/14/2014,Kentucky,KY,Muhlenberg,Muhlenberg,,0,0,0
1/14/2014,South Carolina,SC,Orangeburg,Orangeburg,,0,1,1
1/14/2014,Kentucky,KY,Ohio,Ohio,,0,1,1
1/14/2014,Kentucky,KY,Floyd,Floyd,,0,0,0
1/14/2014,Tennessee,TN,Mcminn,Mcminn,,1,0,1
1/14/2014,Georgia,GA,Clayton,Clayton,,1,0,1
1/15/2014,Florida,FL,Collier,Collier,,0,0,0
1/15/2014,Montana,MT,Flathead,Flathead,,0,1,1
1/15/2014,Ohio,OH,Franklin,Franklin,,0,0,0
1/15/2014,Indiana,IN,Dubois,Dubois,,0,0,0
1/15/2014,Georgia,GA,Houston,Houston,,1,0,1
1/15/2014,Florida,FL,Collier,Collier,,3,0,3
1/15/2014,Illinois,IL,Winnebago,Winnebago,,0,0,0
1/15/2014,Texas,TX,San Patricio,San Patricio,,0,1,1
1/16/2014,North Carolina,NC,Robeson,Robeson,,0,0,0
1/16/2014,Georgia,GA,Dekalb,Dekalb,,0,2,2
1/16/2014,Alabama,AL,Morgan,Morgan,,1,0,1
1/16/2014,North Carolina,NC,Moore,Moore,,0,0,0
1/16/2014,North Carolina,NC,Yadkin,Yadkin,,0,0,0
1/17/2014,New York,NY,Onondaga,Onondaga,,0,1,1
1/17/2014,Georgia,GA,Dekalb,Dekalb,,1,0,1
1/17/2014,South Carolina,SC,Richland,Richland,,0,0,0
1/17/2014,South Carolina,SC,Horry,Horry,,0,1,1
1/17/2014,Missouri,MO,Franklin,Franklin,,0,1,1
1/17/2014,Texas,TX,Harris,Harris,,0,1,1
1/18/2014,Texas,TX,Lampasas,Lampasas,,0,1,1
1/18/2014,North Carolina,NC,Wayne,Wayne,,0,1,1
1/18/2014,Oklahoma,OK,Rogers,Rogers,,0,1,1
1/18/2014,South Carolina,SC,Richland,Richland,,0,0,0
1/18/2014,Illinois,IL,Franklin,Franklin,,0,0,0
1/18/2014,Wisconsin,WI,Sawyer,Sawyer,,1,0,1
1/18/2014,Kentucky,KY,Franklin,Franklin,,0,0,0
1/19/2014,Texas,TX,Montgomery,Montgomery,,2,1,3
1/20/2014,Florida,FL,Collier,Collier,,3,0,3
1/20/2014,Maryland,MD,Prince George's,Prince George's,,0,0,0
1/20/2014,Kentucky,KY,Warren,Warren,,0,1,1
1/20/2014,Minnesota,MN,Chisago,Chisago,,0,0,0
1/20/2014,Georgia,GA,Glynn,Glynn,,0,1,1
1/21/2014,South Carolina,SC,Charleston,Charleston,,0,0,0
1/21/2014,Indiana,IN,Laporte,Laporte,,0,0,0
1/21/2014,Georgia,GA,Coffee,Coffee,,0,0,0
1/21/2014,Tennessee,TN,Sequatchie,Sequatchie,,1,0,1
1/21/2014,Georgia,GA,Clayton,Clayton,,0,1,1
1/22/2014,Texas,TX,Harris,Harris,,0,1,1
1/22/2014,Florida,FL,Lake,Lake,,0,1,1
1/22/2014,Maryland,MD,Carroll,Carroll,,0,1,1
1/22/2014,Tennessee,TN,Chester,Chester,,0,1,1
1/22/2014,Georgia,GA,Gwinnett,Gwinnett,,0,0,0
1/22/2014,Kentucky,KY,Clay,Clay,,0,0,0
1/22/2014,Kentucky,KY,Hopkins,Hopkins,,1,0,1
1/22/2014,Texas,TX,Fort Bend,Fort Bend,,0,1,1
1/22/2014,North Carolina,NC,Pitt,Pitt,,0,0,0
1/23/2014,Florida,FL,Columbia,Columbia,,0,0,0
1/23/2014,Mississippi,MS,Jones,Jones,,0,0,0
1/23/2014,Texas,TX,Liberty,Liberty,,1,0,1
1/23/2014,Indiana,IN,Floyd,Floyd,,0,0,0
1/23/2014,Tennessee,TN,Washington,Washington,,0,0,0
1/23/2014,Alabama,AL,Morgan,Morgan,,0,0,0
1/24/2014,South Carolina,SC,Cherokee,Cherokee,,1,0,1
1/24/2014,South Carolina,SC,Richland,Richland,,0,2,2
1/25/2014,Florida,FL,Hillsborough,Hillsborough,,0,2,2
1/26/2014,Texas,TX,Gregg,Gregg,,1,0,1
