date,state_name,state_id,county_name,city_or_county,city,n_killed,n_injured,n_total
2/3/2013,California,CA,Yuba,Yuba,,1,3,4
2/19/2013,California,CA,Orange,Orange,,4,3,7
3/3/2013,Michigan,MI,Saginaw,Saginaw,,0,4,4
3/30/2013,California,CA,Merced,Merced,,3,2,5
1/1/2014,Louisiana,LA,Richland Parish,Richland Parish,,0,1,1
1/7/2014,Virginia,VA,Loudoun,Loudoun,,2,1,3
1/14/2014,Texas,TX,Parker,Parker,,0,1,1
1/26/2014,New Mexico,NM,Bernalillo,Bernalillo,,0,1,1
1/28/2014,Oregon,OR,Lane,Lane,,0,0,0
2/6/2014,Montana,MT,Flathead,Flathead,,0,1,1
2/12/2014,Washington,WA,Thurston,Thurston,,1,0,1
2/17/2014,Indiana,IN,Warrick,Warrick,,1,0,1
2/19/2014,Indiana,IN,Allen,Allen,,0,0,0
2/19/2014,Kentucky,KY,Wolfe,Wolfe,,0,1,1
3/19/2014,Virginia,VA,Russell,Russell,,0,1,1
4/8/2014,Texas,TX,Jim Wells,Jim Wells,,1,0,1
4/12/2014,Nebraska,NE,York,York,,0,0,0
4/20/2014,Texas,TX,Gaines,Gaines,,0,2,2
4/24/2014,Illinois,IL,Williamson,Williamson,,0,0,0
5/5/2014,Ohio,OH,Muskingum,Muskingum,,1,0,1
5/16/2014,Florida,FL,Orange,Orange,,0,0,0
5/25/2014,Pennsylvania,PA,Tioga,Tioga,,0,0,0
6/8/2014,New Mexico,NM,Dona Ana,Dona Ana,,0,0,0
6/12/2014,Illinois,IL,Sangamon,Sangamon,,0,0,0
6/22/2014,Idaho,ID,Kootenai County,Kootenai County,,0,1,1
6/29/2014,Florida,FL,Escambia,Escambia,,0,1,1
7/4/2014,Missouri,MO,Saint Charles,Saint Charles,,0,0,0
7/5/2014,Idaho,ID,Shoshone,Shoshone,,0,1,1
7/17/2014,Texas,TX,Bell,Bell,,1,0,1
7/26/2014,Arizona,AZ,Maricopa,Maricopa,,0,1,1
8/1/2014,Missouri,MO,Lincoln,Lincoln,,0,0,0
8/2/2014,Wisconsin,WI,Saint Croix,Saint Croix,,0,0,0
8/8/2014,Texas,TX,Bowie,Bowie,,1,1,2
8/9/2014,Wisconsin,WI,Saint Croix,Saint Croix,,0,0,0
8/9/2014,New Mexico,NM,San Juan,San Juan,,0,0,0
8/11/2014,Texas,TX,Galveston,Galveston,,0,1,1
8/13/2014,Minnesota,MN,Pope,Pope,,1,0,1
8/15/2014,Oregon,OR,Coos,Coos,,0,2,2
8/18/2014,New Mexico,NM,Chaves,Chaves,,0,0,0
8/27/2014,Mississippi,MS,Clarke,Clarke,,0,0,0
8/28/2014,Florida,FL,Manatee,Manatee,,1,0,1
9/1/2014,Pennsylvania,PA,Franklin,Franklin,,0,0,0
9/2/2014,Oregon,OR,Hood River,Hood River,,2,0,2
9/3/2014,Texas,TX,Jones,Jones,,1,0,1
9/4/2014,Oregon,OR,Klamath,Klamath,,0,0,0
9/8/2014,Maine,ME,Oxford,Oxford,,0,1,1
9/13/2014,Alabama,AL,Pickens County,Pickens County,,1,0,1
9/23/2014,Minnesota,MN,Beltrami,Beltrami,,0,0,0
9/28/2014,Ohio,OH,Ashtabula,Ashtabula,,0,0,0
10/1/2014,Arizona,AZ,Mojave,Mojave,,0,1,1
10/7/2014,Missouri,MO,Greene,Greene,,1,0,1
10/13/2014,Ohio,OH,Meigs,Meigs,,0,1,1
10/16/2014,Illinois,IL,Mchenry,Mchenry,,0,2,2
10/17/2014,Michigan,MI,Lenawee,Lenawee,,1,0,1
10/18/2014,Pennsylvania,PA,Susquehanna,Susquehanna,,0,1,1
10/21/2014,South Carolina,SC,Lancaster,Lancaster,,0,0,0
11/13/2014,Virginia,VA,Chesterfield,Chesterfield,,0,0,0
12/1/2014,Missouri,MO,Vernon,Vernon,,0,0,0
12/1/2014,Pennsylvania,PA,York,York,,0,0,0
12/8/2014,Pennsylvania,PA,Armstrong,Armstrong,,0,1,1
12/13/2014,New Mexico,NM,Bernalillo,Bernalillo,,0,0,0
12/20/2014,Missouri,MO,Bates,Bates,,0,0,0
12/28/2014,Virginia,VA,York,York,,2,0,2
1/1/2015,Texas,TX,Fort Bend,Fort Bend,,0,0,0
1/5/2015,Virginia,VA,Louisa,Louisa,,0,0,0
1/9/2015,Illinois,IL,Champaign,Champaign,,0,0,0
1/16/2015,Louisiana,LA,Saint Landry,Saint Landry,,0,0,0
1/18/2015,Oregon,OR,Linn,Linn,,0,0,0
1/22/2015,Missouri,MO,Vernon,Vernon,,0,0,0
1/27/2015,Wisconsin,WI,Washington,Washington,,0,0,0
2/12/2015,California,CA,Sacramento,Sacramento,,0,1,1
2/16/2015,Illinois,IL,Massac,Massac,,0,0,0
2/18/2015,Texas,TX,Bexar,Bexar,,0,0,0
2/26/2015,Missouri,MO,Franklin,Franklin,,1,0,1
2/28/2015,Michigan,MI,Eaton,Eaton,,1,0,1
3/2/2015,New Mexico,NM,Mckinley,Mckinley,,0,1,1
3/3/2015,Maryland,MD,Anne Arundel,Anne Arundel,,0,0,0
3/10/2015,Florida,FL,Marion,Marion,,0,0,0
3/12/2015,Washington,WA,Spokane,Spokane,,0,0,0
3/15/2015,Wisconsin,WI,Walworth,Walworth,,0,0,0
3/20/2015,Wyoming,WY,Natrona,Natrona,,0,0,0
3/24/2015,North Dakota,ND,Bottineau,Bottineau,,2,0,2
3/24/2015,Georgia,GA,Barrow,Barrow,,0,0,0
3/25/2015,Michigan,MI,Bay,Bay,,0,0,0
4/1/2015,Colorado,CO,Lincoln,Lincoln,,0,0,0
4/8/2015,Minnesota,MN,Carlton,Carlton,,0,0,0
4/9/2015,Missouri,MO,Newton,Newton,,1,0,1
4/11/2015,Texas,TX,Jefferson,Jefferson,,0,0,0
4/11/2015,Missouri,MO,Mississippi County,Mississippi County,,0,1,1
4/12/2015,North Carolina,NC,Burke County,Burke County,,1,0,1
4/13/2015,Wyoming,WY,Washakie,Washakie,,1,0,1
4/15/2015,Michigan,MI,Genesee,Genesee,,0,0,0
4/16/2015,Tennessee,TN,Madison,Madison,,0,1,1
4/17/2015,Florida,FL,Jackson,Jackson,,0,1,1
4/17/2015,Georgia,GA,Bulloch,Bulloch,,0,0,0
4/18/2015,Alabama,AL,Elmore,Elmore,,0,3,3
4/18/2015,Tennessee,TN,Shelby,Shelby,,0,1,1
4/19/2015,Florida,FL,Orange,Orange,,1,1,2
4/19/2015,Texas,TX,Harris,Harris,,0,1,1
4/19/2015,Alabama,AL,DeKalb,DeKalb,,0,0,0
4/19/2015,Arkansas,AR,Pulaski,Pulaski,,0,0,0
4/19/2015,Virginia,VA,Greene,Greene,,0,0,0
4/19/2015,Ohio,OH,Coshocton,Coshocton,,0,1,1
4/19/2015,New Mexico,NM,San Juan,San Juan,,0,1,1
4/19/2015,Mississippi,MS,Madison,Madison,,1,0,1
4/20/2015,Texas,TX,Smith County,Smith County,,0,2,2
4/20/2015,Oklahoma,OK,Muskogee,Muskogee,,0,1,1
4/20/2015,Georgia,GA,Columbia,Columbia,,0,0,0
4/22/2015,Tennessee,TN,Crockett,Crockett,,0,0,0
4/22/2015,Tennessee,TN,Madison,Madison,,0,0,0
4/22/2015,Virginia,VA,Isle of Wight,Isle of Wight,,0,0,0
4/22/2015,Colorado,CO,Boulder,Boulder,,1,0,1
4/22/2015,Colorado,CO,Larimer,Larimer,,0,1,1
4/22/2015,North Carolina,NC,Camden,Camden,,1,0,1
4/22/2015,Wyoming,WY,Natrona,Natrona,,0,0,0
4/22/2015,Louisiana,LA,Caddo Parish,Caddo Parish,,0,0,0
4/22/2015,Texas,TX,Harris,Harris,,1,0,1
4/23/2015,Wisconsin,WI,Racine,Racine,,0,0,0
4/23/2015,Tennessee,TN,Marion,Marion,,1,0,1
4/23/2015,Arkansas,AR,Baxter,Baxter,,0,1,1
4/23/2015,Florida,FL,Orange,Orange,,0,0,0
4/24/2015,California,CA,Stanislaus,Stanislaus,,0,0,0
4/24/2015,West Virginia,WV,Harrison,Harrison,,0,0,0
4/24/2015,Indiana,IN,Rush,Rush,,0,0,0
4/26/2015,Nebraska,NE,Douglas,Douglas,,0,1,1
4/26/2015,California,CA,Kings,Kings,,1,0,1
4/26/2015,Mississippi,MS,Hancock,Hancock,,0,0,0
4/26/2015,Florida,FL,Orange,Orange,,0,1,1
4/26/2015,Delaware,DE,New Castle,New Castle,,0,0,0
4/26/2015,Tennessee,TN,Blount,Blount,,0,0,0
4/27/2015,Wisconsin,WI,Juneau,Juneau,,0,0,0
4/28/2015,North Carolina,NC,Columbus,Columbus,,1,0,1
4/28/2015,Texas,TX,Panola,Panola,,1,0,1
4/29/2015,Wisconsin,WI,Racine,Racine,,0,1,1
4/29/2015,Minnesota,MN,Lyon,Lyon,,0,0,0
4/29/2015,Florida,FL,Seminole,Seminole,,1,0,1
4/29/2015,Tennessee,TN,Knox,Knox,,1,0,1
4/29/2015,Florida,FL,Miami-dade,Miami-dade,,0,0,0
4/29/2015,Florida,FL,Saint Lucie,Saint Lucie,,0,0,0
4/29/2015,Arizona,AZ,Pima,Pima,,1,0,1
4/29/2015,Virginia,VA,Greensville,Greensville,,1,0,1
4/30/2015,Oregon,OR,Jackson,Jackson,,0,0,0
4/30/2015,Florida,FL,Putnam,Putnam,,0,0,0
