n_killed,latitude,longitude
0,43.2301,-86.2514
0,40.7417,-74.1695
1,40.7034,-73.7474
0,40.6715,-73.9476
0,37.2646,-93.3007
0,32.4848,-84.9727
0,43.0308,-76.1562
0,38.053,-84.4928
0,32.7866,-83.7199
0,38.7765,-77.4996
0,39.9641,-75.1916
0,37.0258,-76.3534
1,32.8548,-79.9977
0,39.3106,-76.7022
1,39.7457,-75.5668
1,39.0496,-108.525
0,32.8461,-79.9813
0,37.1536,-93.2778
1,34.7663,-86.6028
0,39.8952,-75.1241
1,29.9768,-90.055
0,37.1302,-113.416
0,41.049,-85.0909
1,29.8863,-90.1087
0,38.0795,-89.383
0,40.8179,-73.8628
0,38.434,-105.264
0,40.8623,-73.8959
0,33.5922,-101.818
0,41.1508,-100.78
0,32.7187,-80.1029
0,29.7654,-95.3663
0,42.4751,-70.9697
0,37.1422,-76.5355
0,30.6884,-87.048
0,26.6336,-81.8601
1,29.8862,-90.1087
0,33.2482,-87.567
1,31.3762,-90.5601
0,39.7981,-75.0288
0,33.9354,-79.9326
0,42.6828,-89.0187
1,31.7839,-86.1926
3,33.4464,-112.258
1,21.9986,-159.356
0,47.5498,-122.318
0,25.5155,-80.4089
1,28.5064,-81.1511
0,28.4907,-81.4077
0,38.4333,-84.3542
1,28.4532,-81.389
0,41.6824,-83.5364
0,37.6498,-97.3086
1,41.0679,-85.0921
0,30.0454,-89.9837
1,38.7649,-76.8712
0,38.9275,-77.0089
0,37.3691,-81.0813
0,42.1165,-72.586
0,32.6184,-83.6728
1,35.663,-101.404
0,43.0711,-87.8977
0,42.9887,-71.4554
0,28.899,-81.2615
0,41.8253,-71.4143
0,34.9624,-77.9622
0,31.4674,-110.974
0,27.9447,-82.4842
0,41.6011,-83.6245
0,35.7688,-78.6173
0,40.9752,-75.9845
1,42.8913,-78.8659
0,39.2857,-76.5682
2,36.8508,-76.2859
0,29.8877,-93.9602
1,37.3389,-120.497
1,38.9554,-76.8782
0,37.7953,-85.6381
2,36.737,-119.773
0,34.1481,-118.209
1,33.5922,-101.818
0,48.098,-122.322
0,34.6347,-98.4222
0,39.9394,-91.4067
0,36.0633,-79.7785
0,39.8258,-75.0659
0,39.9168,-74.9485
0,40.7951,-74.1562
0,47.6017,-122.299
0,40.884,-74.5621
0,47.5337,-122.372
0,32.4763,-84.9861
0,33.0363,-90.0028
0,41.7001,-73.9158
0,37.1446,-93.3448
0,34.2409,-88.6754
0,38.8847,-77.1672
0,33.8158,-79.1228
1,32.8458,-80.0293
0,41.3083,-72.9279
0,38.2501,-85.815
0,41.7035,-87.6259
0,36.1459,-80.251
1,40.6838,-73.9075
0,35.5711,-96.0152
0,34.0027,-86.0355
0,32.433,-84.9255
0,40.0331,-75.1069
0,42.5085,-94.1894
0,34.2514,-85.4531
0,41.04,-85.1163
0,65.3198,-151.89
0,34.7314,-92.259
0,29.9674,-90.0581
0,35.6029,-77.3481
0,31.3445,-109.557
0,34.735,-86.6314
0,29.9861,-90.0595
0,34.7954,-86.6138
0,39.7751,-104.948
0,41.6024,-72.6964
1,32.3157,-89.1528
1,33.4717,-86.8846
0,40.1015,-83.0127
2,39.2766,-76.7403
0,42.4142,-82.9582
0,34.1259,-118.186
0,33.7475,-84.3003
1,39.2056,-96.068
2,42.3484,-83.0597
0,32.4921,-93.7789
0,40.6155,-74.0816
0,40.6804,-73.9167
0,39.4284,-75.2254
0,41.9873,-87.6582
1,38.814,-104.749
0,27.3034,-98.6823
0,43.1027,-87.9752
0,35.8255,-88.9093
0,36.7515,-76.3443
0,41.4515,-81.7724
0,33.4347,-112.006
1,26.7875,-80.0714
0,29.4769,-98.513
1,36.9303,-82.2722
0,27.7515,-97.4432
0,40.7214,-74.0701
0,31.0843,-97.6373
0,43.0889,-79.0488
0,36.7987,-76.3975
0,40.2138,-74.8426
0,32.8671,-97.3165
0,37.0959,-76.4894
0,42.4684,-70.9617
0,43.0199,-87.9896
0,39.3499,-76.6721
0,36.9875,-76.4097
0,36.1989,-115.118
0,43.0169,-87.9252
0,39.3542,-76.5553
0,36.9881,-76.4185
0,27.7097,-97.3873
1,30.4817,-90.8615
0,39.4339,-75.2276
1,35.2517,-97.495
0,37.5724,-77.4825
0,41.0799,-85.1645
0,35.3229,-119.038
0,39.7827,-89.6411
0,34.2291,-91.9779
0,44.0737,-92.5004
0,61.154,-149.924
0,38.6196,-90.2558
0,37.0698,-83.3789
0,47.6573,-120.917
0,42.3756,-83.0643
0,38.0534,-84.4808
0,33.7892,-84.4459
0,41.7402,-87.6114
0,42.3727,-83.1921
0,38.119,-83.1214
0,26.1522,-80.2348
0,38.5982,-90.235
2,27.8428,-82.7056
0,37.5266,-77.4125
1,40.2051,-74.7595
0,41.6611,-91.5302
0,34.6937,-86.6275
0,31.1192,-97.6979
1,35.8689,-80.2366
0,42.2884,-89.116
0,35.3182,-78.7225
0,43.093,-79.0543
0,43.0664,-76.1558
0,38.9602,-77.0199
0,38.8807,-76.9293
0,38.8569,-76.9718
0,38.917,-77.0006
0,38.903,-77.0504
0,38.9192,-76.9994
1,42.423,-83.2968
0,32.3887,-91.7928
0,38.0507,-84.4829
0,40.8396,-73.8758
0,38.8876,-76.9949
0,39.8258,-86.027
0,40.6505,-73.9573
