date,state,city_or_county,n_killed,n_injured,n_total,city_ascii,state_name,state_id,county_name
2013-01-01,Pennsylvania,Mckeesport,0,4,4,Mckeesport,Pennsylvania,PA,Allegheny
2013-04-07,New York,New York ,1,3,4,,,,
2013-04-22,Illinois,Chicago ,0,4,4,,,,
2013-05-18,New York,Jamaica,1,0,1,,,,
2013-06-02,Georgia,Lagrange,0,7,7,,,,
2013-07-13,New Jersey,Trenton ,1,4,5,,,,
2013-07-14,Michigan,Grand Rapids ,0,5,5,,,,
2013-08-06,New Jersey,Montclair,0,4,4,,,,
2013-09-16,District of Columbia,Washington Navy Yard,11,3,14,,,,
2013-10-13,Pennsylvania,Wilkes Barre,1,0,1,,,,
2013-10-21,Pennsylvania,Pittsburgh ,2,5,7,,,,
2013-10-29,South Carolina,Bradley ,5,0,5,,,,
2013-11-09,Texas,Cypress,2,16,18,,,,
2013-12-15,Florida,Homestead ,1,3,4,,,,
2013-12-25,New Jersey,Irvington,3,2,5,,,,
2014-01-01,Georgia,Bibb County,0,1,1,,,,
2014-01-01,Virginia,Prince William County,0,1,1,,,,
2014-01-01,Colorado,Canon City,0,1,1,Canon City,Colorado,CO,Fremont
2014-01-01,Alabama,Crenshaw,1,0,1,,,,
2014-01-01,Hawaii,Lihue,1,0,1,Lihue,Hawaii,HI,Kauai
2014-01-01,North Carolina,Duplin County,0,1,1,,,,
2014-01-01,New Jersey,Gloucester Township,0,0,0,,,,
2014-01-01,New Jersey,Mount Laurel,0,2,2,,,,
2014-01-01,New Jersey,Belleville,0,0,0,,,,
2014-01-01,Mississippi,Franklin,0,0,0,,,,
2014-01-01,North Carolina,Winston,0,0,0,,,,
2014-01-01,Oklahoma,Okmulgee County,0,2,2,,,,
2014-01-01,Connecticut,Cromwell,0,1,1,,,,
2014-01-01,Virginia,Russell County,1,0,1,,,,
2014-01-01,Kentucky,Leslie County,0,1,1,,,,
2014-01-01,Washington,Cape Horn,0,1,1,,,,
2014-01-01,Kentucky,Elliott County,0,1,1,,,,
2014-01-01,North Carolina,Davidson County,1,1,2,,,,
2014-01-01,Michigan,Detroit ,1,2,3,,,,
2014-01-01,North Carolina,Columbus County,1,0,1,,,,
2014-01-01,Ohio,Miami Township,0,0,0,,,,
2014-01-02,Maryland,Prince George,0,0,0,,,,
2014-01-02,California,Huntington,0,1,1,,,,
2014-01-02,Pennsylvania,Montgomery County,0,0,0,,,,
2014-01-02,Florida,Greenacres,0,1,1,,,,
2014-01-02,New Jersey,Burlington Township,0,0,0,,,,
2014-01-02,Ohio,Cincinnati ,1,0,1,,,,
2014-01-02,West Virginia,Boone County,2,0,2,,,,
2014-01-02,Nevada,Green Valley,0,2,2,,,,
2014-01-03,Texas,Harris County,0,0,0,,,,
2014-01-03,North Carolina,Winston,1,0,1,,,,
2014-01-03,West Virginia,Wilkinson,0,1,1,,,,
2014-01-03,Montana,Yellowstone County,1,0,1,,,,
2014-01-03,North Carolina,Pitt County,0,0,0,,,,
2014-01-03,Washington,Yakima County,1,0,1,,,,
2014-01-03,Florida,Broward,0,0,0,,,,
2014-01-03,Tennessee,Campbell County,0,0,0,,,,
2014-01-03,South Carolina,Berkeley County,0,0,0,,,,
2014-01-03,North Carolina,Winston,1,0,1,,,,
2014-01-03,Mississippi,Jones County,0,0,0,,,,
2014-01-03,Florida,Defuniak Springs,0,0,0,,,,
2014-01-04,Texas,Harris County,0,0,0,,,,
2014-01-04,Arkansas,Leflore,0,0,0,,,,
2014-01-04,Louisiana,Iberia Parish,0,1,1,,,,
2014-01-04,Florida,Broward,0,0,0,,,,
2014-01-04,Kentucky,Boyd County,0,0,0,,,,
2014-01-04,Texas,Bee County,1,0,1,,,,
2014-01-04,Pennsylvania,Wilkes,0,0,0,,,,
2014-01-04,New York,Monroe County,0,3,3,,,,
2014-01-04,New York,Mendon,0,2,2,,,,
2014-01-04,Florida,Orlando ,0,1,1,,,,
2014-01-04,Virginia,Henrico,0,1,1,,,,
2014-01-04,North Carolina,Guilford County,0,0,0,,,,
2014-01-04,New York,Mendon,0,1,1,,,,
2014-01-05,Massachusetts,Leicester,0,0,0,,,,
2014-01-05,Maryland,Lothian,0,1,1,,,,
2014-01-05,North Carolina,Onslow County,1,0,1,,,,
2014-01-05,Virginia,Henrico,0,0,0,,,,
2014-01-05,Ohio,Erie,1,3,4,,,,
2014-01-05,Delaware,New Castle County,0,0,0,,,,
2014-01-05,Delaware,New Castle County,0,0,0,,,,
2014-01-05,Florida,Charlotte,0,0,0,,,,
2014-01-05,Georgia,Atlanta ,0,2,2,,,,
2014-01-05,New Jersey,Orange,0,1,1,,,,
2014-01-05,Maryland,Washington,0,0,0,,,,
2014-01-06,Kentucky,Muhlenberg County,0,0,0,,,,
2014-01-06,Louisiana,Bossier,0,0,0,,,,
2014-01-06,Maryland,Hanover,0,0,0,,,,
2014-01-06,Tennessee,Antioch,0,1,1,,,,
2014-01-06,Montana,Ravalli County,2,0,2,,,,
2014-01-06,West Virginia,Harrison County,1,0,1,,,,
2014-01-06,North Carolina,Halifax County,0,0,0,,,,
2014-01-07,Florida,Broward,0,0,0,,,,
2014-01-07,Wisconsin,Fond Du Lac,1,0,1,,,,
2014-01-07,Kentucky,Taylor County,1,0,1,,,,
2014-01-07,Wyoming,Park County,1,0,1,,,,
2014-01-07,New Mexico,Torrance County,1,0,1,,,,
2014-01-07,California,Mckinleyville,0,0,0,,,,
2014-01-07,Louisiana,Jefferson Parish,0,0,0,,,,
2014-01-07,New York,Ronkonkoma ,0,0,0,,,,
2014-01-07,Georgia,Clayton County,0,1,1,,,,
2014-01-07,Wisconsin,Dane County,0,1,1,,,,
2014-01-08,Georgia,Richmond County,0,1,1,,,,
2014-01-08,California,Dunlap,0,0,0,,,,
2014-01-08,California,Canoga Park,0,0,0,,,,
2014-01-08,Idaho,Malad,0,0,0,,,,
2014-01-08,New Jersey,Montclair,0,0,0,,,,
2014-01-08,Ohio,Langsville,0,1,1,,,,
2014-01-08,California,Encino,0,1,1,,,,
2014-01-08,New York,Amherst,0,0,0,,,,
2014-01-08,Louisiana,Maurepas,0,0,0,,,,
2014-01-08,Maryland,Worcester County,0,0,0,,,,
2014-01-08,California,Van Nuys,1,0,1,,,,
2014-01-09,Florida,Manatee,0,0,0,,,,
2014-01-09,Connecticut,Rocky Hill,0,0,0,,,,
2014-01-09,Louisiana,Lafayette Parish,0,0,0,,,,
2014-01-09,South Carolina,Richland County,0,2,2,,,,
2014-01-09,Florida,Columbia County,0,1,1,,,,
2014-01-09,Minnesota,West St Paul,0,0,0,,,,
2014-01-09,South Carolina,Orangeburg County,1,2,3,,,,
2014-01-09,Alabama,Limestone County,1,0,1,,,,
2014-01-09,Tennessee,Carter County,1,0,1,,,,
2014-01-09,Georgia,Dougherty County,0,0,0,,,,
2014-01-09,Texas,Harris County,0,0,0,,,,
2014-01-09,Connecticut,Rocky Hill,0,0,0,,,,
2014-01-10,Arizona,Wittman,0,0,0,,,,
2014-01-10,New York,Freedom,0,0,0,,,,
2014-01-10,Minnesota,Saint Paul ,0,0,0,,,,
2014-01-10,Florida,Collier,0,0,0,,,,
2014-01-10,California,Hollywood ,0,1,1,,,,
2014-01-10,Florida,Bay,0,0,0,,,,
2014-01-10,Ohio,New Westville,0,0,0,,,,
2014-01-10,Texas,Brazos County,0,0,0,,,,
2014-01-10,Idaho,Mccall,0,0,0,,,,
2014-01-10,California,Riverside County,1,0,1,,,,
2014-01-10,New Jersey,Pennsauken,0,1,1,,,,
2014-01-10,Virginia,Henrico County,0,0,0,,,,
2014-01-10,California,Jurupa Valley,1,0,1,,,,
2014-01-10,Georgia,Bibb County,0,1,1,,,,
2014-01-10,Virginia,York County,0,1,1,,,,
2014-01-11,Tennessee,Sullivan County,0,1,1,,,,
2014-01-11,North Carolina,Wake County,1,0,1,,,,
2014-01-11,New York,Great Kills,0,0,0,,,,
2014-01-11,Kansas,Reno County,0,1,1,,,,
2014-01-11,Louisiana,Iberia Parish,0,0,0,,,,
2014-01-11,South Carolina,Richland County,0,0,0,,,,
2014-01-11,Connecticut,Plainfield,0,1,1,,,,
2014-01-11,Tennessee,Lafollette,0,1,1,,,,
2014-01-11,Alabama,Chilton County,0,1,1,,,,
2014-01-12,Texas,Mckinney,0,1,1,,,,
2014-01-12,Alabama,Blount,1,0,1,,,,
2014-01-12,Georgia,Bibb County,0,3,3,,,,
2014-01-12,New Hampshire,Windham,0,0,0,,,,
2014-01-12,Arkansas,Fontaine,1,0,1,,,,
2014-01-12,Illinois,Winnebago County,0,2,2,,,,
2014-01-12,Alabama,Tallapoosa,1,0,1,,,,
2014-01-12,New Jersey,Burlington City,0,0,0,,,,
2014-01-12,Hawaii,Kula,0,1,1,,,,
2014-01-12,South Carolina,Charleston County,0,0,0,,,,
2014-01-12,Tennessee,Hawkins County,0,1,1,,,,
2014-01-12,Kentucky,Ohio County,0,1,1,,,,
2014-01-12,Georgia,Clayton County,0,1,1,,,,
2014-01-12,New Jersey,Franklin Township,0,1,1,,,,
2014-01-13,Virginia,Henrico,0,0,0,,,,
2014-01-13,Louisiana,Westwego ,0,1,1,,,,
2014-01-13,Virginia,Henrico County,1,0,1,,,,
2014-01-13,Mississippi,Claiborne,1,0,1,,,,
2014-01-13,Ohio,Washington Township,0,1,1,,,,
2014-01-13,Vermont,Berlin,0,0,0,,,,
2014-01-13,South Carolina,James Island,0,2,2,,,,
2014-01-13,Maryland,Prince George,1,0,1,,,,
2014-01-13,Georgia,Richmond County,1,0,1,,,,
2014-01-13,California,Mesa,0,1,1,,,,
2014-01-13,Virginia,Henrico County,0,0,0,,,,
2014-01-13,Virginia,York,0,0,0,,,,
2014-01-13,Maryland,Hanover,0,0,0,,,,
2014-01-13,New York,Wheatfield,0,0,0,,,,
2014-01-13,Tennessee,Antioch,0,1,1,,,,
2014-01-13,Louisiana,Jefferson Parish,0,0,0,,,,
2014-01-13,Minnesota,Lehillier,0,0,0,,,,
2014-01-13,North Carolina,Wayne County,2,0,2,,,,
2014-01-13,North Carolina,Hoke County,0,1,1,,,,
2014-01-14,Indiana,Steuben County,0,0,0,,,,
2014-01-14,Illinois,Kane County,0,0,0,,,,
2014-01-14,Texas,Harris County,0,0,0,,,,
2014-01-14,Ohio,East Price Hill,0,2,2,,,,
2014-01-14,Maryland,Prince George,0,0,0,,,,
2014-01-14,Tennessee,Hickory Hill,0,0,0,,,,
2014-01-14,Texas,Harris County,0,0,0,,,,
2014-01-14,California,Shasta County,0,1,1,,,,
2014-01-14,Kentucky,Muhlenberg County,0,0,0,,,,
2014-01-14,Nebraska,Omaha ,0,0,0,,,,
2014-01-14,Florida,Fleming Island,0,0,0,,,,
2014-01-14,South Carolina,Orangeburg County,0,1,1,,,,
2014-01-14,Kentucky,Ohio County,0,1,1,,,,
2014-01-14,Ohio,Cincinnati ,0,2,2,,,,
2014-01-14,New York,Bethlehem,0,0,0,,,,
2014-01-14,Kentucky,Floyd County,0,0,0,,,,
2014-01-14,Tennessee,Mcminn County,1,0,1,,,,
2014-01-14,Georgia,Clayton County,1,0,1,,,,
2014-01-14,New York,Clay,0,0,0,,,,
2014-01-14,Mississippi,Warren,0,2,2,,,,
2014-01-14,Kentucky,Morning View,2,0,2,,,,
2014-01-15,Ohio,Unity Township,0,1,1,,,,
2014-01-15,Florida,Collier County,0,0,0,,,,
2014-01-15,Montana,Flathead County,0,1,1,,,,
2014-01-15,Massachusetts,Dorchester,1,0,1,,,,
2014-01-15,Pennsylvania,Pittsburgh ,2,0,2,,,,
2014-01-15,Ohio,Franklin County,0,0,0,,,,
2014-01-15,Pennsylvania,Clifton Township,0,0,0,,,,
2014-01-15,Massachusetts,Auburn,0,0,0,,,,
2014-01-15,Indiana,Dubois County,0,0,0,,,,
2014-01-15,Georgia,Houston County,1,0,1,,,,
2014-01-15,Florida,Collier County,3,0,3,,,,
2014-01-15,Illinois,Winnebago County,0,0,0,,,,
2014-01-15,Texas,San Patricio County,0,1,1,,,,
2014-01-15,New York,Marlborough,0,0,0,,,,
2014-01-15,New Jersey,Lyndhurst,0,1,1,,,,
2014-01-15,Massachusetts,Ludlow,0,1,1,,,,
2014-01-15,Florida,Broward,0,1,1,,,,
2014-01-16,New Jersey,Delran,0,0,0,,,,
2014-01-16,Pennsylvania,Plains Township,0,0,0,,,,
2014-01-16,North Carolina,Robeson County,0,0,0,,,,
2014-01-16,Georgia,Dekalb County,0,2,2,,,,
2014-01-16,New Jersey,Mount Laurel,0,0,0,,,,
2014-01-16,Virginia,Middlesex,0,0,0,,,,
2014-01-16,Tennessee,Blackman,0,0,0,,,,
2014-01-16,Michigan,Roscommon Township,1,0,1,,,,
2014-01-16,Alabama,Morgan County,1,0,1,,,,
2014-01-16,New Jersey,Mount Laurel,0,0,0,,,,
2014-01-16,New Jersey,Brick,0,0,0,,,,
