STNAME,CTYNAME,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,NPOPCHG_2014,NPOPCHG_2015,NPOPCHG_2016,NPOPCHG_2017,NPOPCHG_2018
Alabama,Alabama,4842481,4853160,4864745,4875120,4887871,12021,10679,11585,10375,12751
Alabama,Autauga County,54876,54838,55242,55443,55601,163,-38,404,201,158
Alabama,Baldwin County,199189,202995,207712,212619,218022,4303,3806,4717,4907,5403
Alabama,Barbour County,26758,26294,25819,25158,24881,-186,-464,-475,-661,-277
Alabama,Bibb County,22541,22562,22576,22555,22400,25,21,14,-21,-155
Alabama,Blount County,57521,57522,57517,57827,57840,-90,1,-5,310,13
Alabama,Bullock County,10665,10400,10381,10176,10138,114,-265,-19,-205,-38
Alabama,Butler County,20343,20176,20029,19898,19680,-31,-167,-147,-131,-218
Alabama,Calhoun County,115995,115536,115018,114664,114277,-546,-459,-518,-354,-387
Alabama,Chambers County,33980,34007,33771,33758,33615,-163,27,-236,-13,-143
Alabama,Cherokee County,25902,25739,25776,25815,26032,-123,-163,37,39,217
Alabama,Chilton County,43769,43717,43896,44117,44153,135,-52,179,221,36
Alabama,Choctaw County,13317,13233,13049,12935,12841,-79,-84,-184,-114,-94
Alabama,Clarke County,24865,24703,24349,24097,23920,-257,-162,-354,-252,-177
Alabama,Clay County,13440,13413,13393,13367,13275,36,-27,-20,-26,-92
Alabama,Cleburne County,15025,14917,14853,14906,14987,49,-108,-64,53,81
Alabama,Coffee County,50655,50952,51145,51777,51909,-22,297,193,632,132
Alabama,Colbert County,54468,54370,54367,54509,54762,-65,-98,-3,142,253
Alabama,Conecuh County,12679,12680,12501,12435,12277,-232,1,-179,-66,-158
Alabama,Coosa County,11038,10938,10826,10757,10715,-218,-100,-112,-69,-42
Alabama,Covington County,37756,37551,37382,37078,36986,-56,-205,-169,-304,-92
Alabama,Crenshaw County,13859,13857,13922,13861,13824,5,-2,65,-61,-37
Alabama,Cullman County,81067,81764,82456,82836,83442,379,697,692,380,606
Alabama,Dale County,49417,49349,49301,49254,48956,-355,-68,-48,-47,-298
Alabama,Dallas County,41562,40948,40092,39235,38310,-421,-614,-856,-857,-925
Alabama,DeKalb County,70999,71112,71101,71404,71385,88,113,-11,303,-19
Alabama,Elmore County,80568,80924,81263,81416,81887,-1,356,339,153,471
Alabama,Escambia County,37738,37665,37488,36999,36748,-25,-73,-177,-489,-251
Alabama,Etowah County,103407,103003,102849,102937,102501,-476,-404,-154,88,-436
Alabama,Fayette County,16768,16693,16555,16474,16433,-51,-75,-138,-81,-41
Alabama,Franklin County,31561,31541,31654,31590,31363,9,-20,113,-64,-227
Alabama,Geneva County,26597,26636,26498,26410,26314,-85,39,-138,-88,-96
Alabama,Greene County,8585,8509,8483,8318,8233,-164,-76,-26,-165,-85
Alabama,Hale County,15047,15018,14835,14809,14726,-200,-29,-183,-26,-83
Alabama,Henry County,17082,17106,17083,17140,17209,-50,24,-23,57,69
Alabama,Houston County,104156,104268,104239,104373,104722,518,112,-29,134,349
Alabama,Jackson County,52562,52218,52048,51907,51736,-396,-344,-170,-141,-171
Alabama,Jefferson County,659918,660370,660326,659546,659300,722,452,-44,-780,-246
Alabama,Lamar County,14067,13925,13927,13902,13844,-143,-142,2,-25,-58
Alabama,Lauderdale County,93013,92477,92457,92591,92387,307,-536,-20,134,-204
Alabama,Lawrence County,33448,33138,33233,33077,32957,-129,-310,95,-156,-120
Alabama,Lee County,154545,157009,159297,161641,163941,2714,2464,2288,2344,2300
Alabama,Limestone County,90596,91571,92841,94076,96174,1686,975,1270,1235,2098
Alabama,Lowndes County,10498,10353,10253,10104,9974,-167,-145,-100,-149,-130
Alabama,Macon County,19648,19306,19064,18811,18439,-378,-342,-242,-253,-372
Alabama,Madison County,349807,352989,356821,361665,366519,3174,3182,3832,4844,4854
Alabama,Marengo County,19980,19760,19516,19366,19066,-134,-220,-244,-150,-300
Alabama,Marion County,30202,30123,29964,29771,29763,-26,-79,-159,-193,-8
Alabama,Marshall County,94277,94606,95123,95609,96109,-93,329,517,486,500
Alabama,Mobile County,414590,414935,415499,414515,413757,380,345,564,-984,-758
Alabama,Monroe County,21927,21717,21545,21302,21067,-244,-210,-172,-243,-235
Alabama,Montgomery County,227546,227244,227072,227079,225763,-627,-302,-172,7,-1316
Alabama,Morgan County,119458,119281,118970,118811,119089,-116,-177,-311,-159,278
Alabama,Perry County,9804,9638,9528,9319,9140,-201,-166,-110,-209,-179
Alabama,Pickens County,20283,20776,20309,20182,19938,978,493,-467,-127,-244
Alabama,Pike County,33197,33522,33521,33435,33338,-516,325,-1,-86,-97
Alabama,Randolph County,22355,22598,22508,22683,22725,-193,243,-90,175,42
Alabama,Russell County,59211,58837,58208,57028,57781,78,-374,-629,-1180,753
Alabama,St. Clair County,85995,86546,87323,87976,88690,190,551,777,653,714
Alabama,Shelby County,206356,209084,211430,213729,215707,2248,2728,2346,2299,1978
Alabama,Sumter County,13275,13206,12974,12780,12691,-121,-69,-232,-194,-89
Alabama,Talladega County,81450,81055,80468,80022,79828,-63,-395,-587,-446,-194
Alabama,Tallapoosa County,40887,40611,40570,40613,40497,-141,-276,-41,43,-116
Alabama,Tuscaloosa County,203097,204736,206614,207709,208911,2013,1639,1878,1095,1202
Alabama,Walker County,65336,64933,64548,63935,63711,-432,-403,-385,-613,-224
Alabama,Washington County,16868,16828,16610,16532,16378,-29,-40,-218,-78,-154
Alabama,Wilcox County,10953,10903,10851,10712,10627,-199,-50,-52,-139,-85
Alabama,Winston County,24137,23929,23906,23745,23660,-49,-208,-23,-161,-85
Alaska,Alaska,736307,737547,741504,739786,737438,-738,1240,3957,-1718,-2348
Alaska,Aleutians East Borough,3348,3381,3388,3495,3515,3,33,7,107,20
Alaska,Aleutians West Census Area,5822,5781,5698,5726,5723,45,-41,-83,28,-3
Alaska,Anchorage Municipality,299927,297613,297216,294264,291538,-1228,-2314,-397,-2952,-2726
Alaska,Bethel Census Area,17933,17955,18019,18079,18216,86,22,64,60,137
Alaska,Bristol Bay Borough,949,905,903,870,877,-3,-44,-2,-33,7
Alaska,Denali Borough,1915,1927,2039,2066,2059,-27,12,112,27,-7
Alaska,Dillingham Census Area,4983,4987,4970,4935,5000,4,4,-17,-35,65
Alaska,Fairbanks North Star Borough,99256,99630,100683,99725,98971,-1672,374,1053,-958,-754
Alaska,Haines Borough,2555,2516,2527,2518,2474,-3,-39,11,-9,-44
Alaska,Hoonah-Angoon Census Area,2103,2137,2128,2139,2151,-18,34,-9,11,12
Alaska,Juneau City and Borough,32476,32601,32400,32061,32113,-111,125,-201,-339,52
Alaska,Kenai Peninsula Borough,57565,58029,58452,58522,58533,550,464,423,70,11
Alaska,Ketchikan Gateway Borough,13801,13706,13714,13882,13918,85,-95,8,168,36
Alaska,Kodiak Island Borough,13904,13766,13710,13519,13345,-185,-138,-56,-191,-174
Alaska,Kusilvak Census Area,8098,8187,8174,8230,8303,126,89,-13,56,73
Alaska,Lake and Peninsula Borough,1645,1592,1598,1607,1587,-20,-53,6,9,-20
Alaska,Matanuska-Susitna Borough,98104,101068,104157,106383,107610,2227,2964,3089,2226,1227
Alaska,Nome Census Area,9803,9885,9961,9968,10008,-42,82,76,7,40
Alaska,North Slope Borough,9769,9795,9718,9831,9872,-17,26,-77,113,41
Alaska,Northwest Arctic Borough,7771,7771,7689,7767,7671,46,0,-82,78,-96
Alaska,Petersburg Borough,3265,3259,3270,3259,3221,-28,-6,11,-11,-38
Alaska,Prince of Wales-Hyder Census Area,6460,6505,6516,6469,6422,17,45,11,-47,-47
Alaska,Sitka City and Borough,8839,8778,8738,8686,8647,-134,-61,-40,-52,-39
Alaska,Skagway Municipality,1053,1087,1132,1162,1148,28,34,45,30,-14
Alaska,Southeast Fairbanks Census Area,6922,6804,6849,6885,6918,-62,-118,45,36,33
Alaska,Valdez-Cordova Census Area,9475,9322,9318,9224,9164,-301,-153,-4,-94,-60
Alaska,Wrangell City and Borough,2447,2459,2501,2511,2503,-8,12,42,10,-8
Alaska,Yakutat City and Borough,655,635,613,607,604,4,-20,-22,-6,-3
Alaska,Yukon-Koyukuk Census Area,5464,5466,5423,5396,5327,-100,2,-43,-27,-69
Arizona,Arizona,6733840,6833596,6945452,7048876,7171646,98841,99756,111856,103424,122770
Arizona,Apache County,71820,71022,71403,71545,71818,-521,-798,381,142,273
Arizona,Cochise County,127352,126502,125782,124990,126770,-2256,-850,-720,-792,1780
Arizona,Coconino County,137583,139024,140515,141107,142854,870,1441,1491,592,1747
Arizona,Gila County,53070,53006,53404,53629,53889,48,-64,398,225,260
Arizona,Graham County,38124,37873,37823,37501,38072,670,-251,-50,-322,571
Arizona,Greenlee County,9341,9575,9651,9468,9483,433,234,76,-183,15
Arizona,La Paz County,20529,20483,20661,20735,21098,-3,-46,178,74,363
Arizona,Maricopa County,4095508,4175049,4258603,4329580,4410824,76489,79541,83554,70977,81244
Arizona,Mohave County,203474,204661,205521,207114,209550,316,1187,860,1593,2436
Arizona,Navajo County,107724,107688,108523,109144,110445,579,-36,835,621,1301
Arizona,Pima County,1004675,1009737,1017624,1027502,1039073,7238,5062,7887,9878,11571
Arizona,Pinal County,395915,406073,417363,432114,447138,10259,10158,11290,14751,15024
Arizona,Santa Cruz County,46703,46602,46468,46636,46511,-288,-101,-134,168,-125
Arizona,Yavapai County,217739,220845,224591,228055,231993,3313,3106,3746,3464,3938
Arizona,Yuma County,204283,205456,207520,209756,212128,1694,1173,2064,2236,2372
Arkansas,Arkansas,2967726,2978407,2990410,3002997,3013825,8177,10681,12003,12587,10828
Arkansas,Arkansas County,18476,18325,18145,17904,17769,-278,-151,-180,-241,-135
Arkansas,Ashley County,20959,20838,20525,20319,20046,-319,-121,-313,-206,-273
Arkansas,Baxter County,40884,41136,41139,41316,41619,-100,252,3,177,303
Arkansas,Benton County,244882,251673,259234,266504,272608,5397,6791,7561,7270,6104
Arkansas,Boone County,37102,37112,37260,37486,37480,-210,10,148,226,-6
Arkansas,Bradley County,11016,11007,10967,10853,10897,-113,-9,-40,-114,44
Arkansas,Calhoun County,5168,5201,5142,5224,5277,-25,33,-59,82,53
Arkansas,Carroll County,27735,27775,27753,27947,28223,-57,40,-22,194,276
Arkansas,Chicot County,11202,10960,10892,10639,10438,-158,-242,-68,-253,-201
Arkansas,Clark County,22565,22517,22600,22180,22061,-23,-48,83,-420,-119
Arkansas,Clay County,15297,15200,15051,14910,14847,-185,-97,-149,-141,-63
Arkansas,Cleburne County,25605,25361,25174,25046,24965,-36,-244,-187,-128,-81
Arkansas,Cleveland County,8398,8284,8249,8181,8018,-117,-114,-35,-68,-163
Arkansas,Columbia County,24046,24126,24049,23700,23537,-236,80,-77,-349,-163
Arkansas,Conway County,20991,20930,20871,20848,20891,-94,-61,-59,-23,43
Arkansas,Craighead County,102661,104419,105830,107037,108558,1017,1758,1411,1207,1521
Arkansas,Crawford County,61817,61910,62309,62917,63406,138,93,399,608,489
Arkansas,Crittenden County,49577,49071,49345,48730,48342,-170,-506,274,-615,-388
Arkansas,Cross County,17183,17254,17024,16852,16676,-340,71,-230,-172,-176
Arkansas,Dallas County,7692,7531,7402,7354,7182,-200,-161,-129,-48,-172
Arkansas,Desha County,12270,12022,11899,11732,11512,-230,-248,-123,-167,-220
Arkansas,Drew County,18640,18617,18552,18373,18328,-43,-23,-65,-179,-45
Arkansas,Faulkner County,120567,121209,122100,123397,124806,1383,642,891,1297,1409
Arkansas,Franklin County,17820,17755,17669,17844,17810,-87,-65,-86,175,-34
Arkansas,Fulton County,12083,12137,12096,12112,12269,-88,54,-41,16,157
Arkansas,Garland County,97754,97816,98311,98444,99154,101,62,495,133,710
Arkansas,Grant County,18073,18014,18059,18096,18188,29,-59,45,37,92
Arkansas,Greene County,43787,44298,44730,44977,45325,627,511,432,247,348
Arkansas,Hempstead County,22338,22094,22036,21881,21741,-89,-244,-58,-155,-140
Arkansas,Hot Spring County,33400,33480,33419,33600,33701,-116,80,-61,181,101
Arkansas,Howard County,13510,13353,13366,13377,13341,-47,-157,13,11,-36
Arkansas,Independence County,37079,37034,37118,37409,37678,196,-45,84,291,269
Arkansas,Izard County,13553,13483,13486,13680,13593,147,-70,3,194,-87
Arkansas,Jackson County,17595,17371,17290,17057,16811,-138,-224,-81,-233,-246
Arkansas,Jefferson County,72469,71868,70400,69269,68114,-733,-601,-1468,-1131,-1155
Arkansas,Johnson County,25971,26103,26150,26489,26742,41,132,47,339,253
Arkansas,Lafayette County,7164,7015,6893,6822,6682,-121,-149,-122,-71,-140
Arkansas,Lawrence County,16971,16702,16649,16590,16434,-84,-269,-53,-59,-156
Arkansas,Lee County,9843,9676,9340,9147,8985,-170,-167,-336,-193,-162
Arkansas,Lincoln County,14030,13866,13724,13473,13383,-32,-164,-142,-251,-90
Arkansas,Little River County,12524,12421,12421,12393,12326,-215,-103,0,-28,-67
Arkansas,Logan County,21859,21713,21725,21753,21737,-167,-146,12,28,-16
Arkansas,Lonoke County,71338,71336,71819,72878,73657,623,-2,483,1059,779
Arkansas,Madison County,15733,15707,16112,16349,16481,53,-26,405,237,132
Arkansas,Marion County,16420,16211,16378,16460,16722,-23,-209,167,82,262
Arkansas,Miller County,43566,43912,43842,43884,43592,105,346,-70,42,-292
Arkansas,Mississippi County,44250,43715,42879,42073,41239,-447,-535,-836,-806,-834
Arkansas,Monroe County,7635,7453,7203,7052,6900,-55,-182,-250,-151,-152
Arkansas,Montgomery County,9158,9029,8949,8907,8924,-92,-129,-80,-42,17
Arkansas,Nevada County,8651,8513,8380,8328,8326,-126,-138,-133,-52,-2
Arkansas,Newton County,7879,7858,7860,7837,7805,-175,-21,2,-23,-32
Arkansas,Ouachita County,24763,24321,24015,23824,23606,-189,-442,-306,-191,-218
Arkansas,Perry County,10353,10298,10274,10335,10352,25,-55,-24,61,17
Arkansas,Phillips County,19960,19557,19062,18564,18029,-483,-403,-495,-498,-535
Arkansas,Pike County,10987,10835,10825,10721,10673,-132,-152,-10,-104,-48
Arkansas,Poinsett County,24152,24016,24007,24121,23974,-33,-136,-9,114,-147
Arkansas,Polk County,20255,20196,20151,20162,20049,-94,-59,-45,11,-113
Arkansas,Pope County,63111,63577,63876,63655,64000,528,466,299,-221,345
Arkansas,Prairie County,8345,8297,8252,8250,8074,-29,-48,-45,-2,-176
Arkansas,Pulaski County,392990,393643,394386,393616,392680,1446,653,743,-770,-936
Arkansas,Randolph County,17568,17427,17427,17645,17948,-58,-141,0,218,303
Arkansas,St. Francis County,27096,26654,26344,25938,25439,-414,-442,-310,-406,-499
Arkansas,Saline County,114861,116397,117695,119669,121421,1522,1536,1298,1974,1752
Arkansas,Scott County,10665,10540,10313,10374,10319,-246,-125,-227,61,-55
Arkansas,Searcy County,7917,7831,7964,7947,7958,-68,-86,133,-17,11
Arkansas,Sebastian County,126784,127428,127477,127865,127753,-427,644,49,388,-112
Arkansas,Sevier County,17429,17272,16980,17146,17139,59,-157,-292,166,-7
Arkansas,Sharp County,16822,16811,17014,17200,17366,-223,-11,203,186,166
Arkansas,Stone County,12379,12380,12498,12517,12457,-44,1,118,19,-60
Arkansas,Union County,40140,40093,39883,39420,39126,-466,-47,-210,-463,-294
Arkansas,Van Buren County,16880,16773,16629,16533,16603,-80,-107,-144,-96,70
Arkansas,Washington County,219976,224491,228438,232780,236961,3965,4515,3947,4342,4181
Arkansas,White County,78459,78925,78967,78941,78727,-94,466,42,-26,-214
Arkansas,Woodruff County,6874,6721,6616,6600,6490,-157,-153,-105,-16,-110
Arkansas,Yell County,21774,21513,21501,21544,21535,-49,-261,-12,43,-9
California,California,38625139,38953142,39209127,39399349,39557045,344315,328003,255985,190222,157696
California,Alameda County,1608674,1634634,1650306,1658131,1666753,28427,25960,15672,7825,8622
