Per Capita Personal Income by County (Dollars),,,,,,
Series ID,Region Name,Region Code,2014,2015,2016,2017
PCPI45001,"Abbeville County, SC",45001,29498,30928,31785,33044
PCPI22001,"Acadia Parish, LA",22001,37336,35676,34158,35401
PCPI51001,"Accomack County, VA",51001,37225,38807,39099,40701
PCPI16001,"Ada County, ID",16001,45259,47671,48419,49900
PCPI29001,"Adair County, MO",29001,30036,31139,31186,32037
PCPI21001,"Adair County, KY",21001,27895,28588,28691,29562
PCPI40001,"Adair County, OK",40001,26219,27813,27748,28755
PCPI19001,"Adair County, IA",19001,45251,47128,47917,46459
PCPI53001,"Adams County, WA",53001,38944,44149,40668,41603
PCPI39001,"Adams County, OH",39001,30291,31624,32190,33284
PCPI08001,"Adams County, CO",08001,36827,38451,39618,41215
PCPI38001,"Adams County, ND",38001,48850,49582,49460,56404
PCPI31001,"Adams County, NE",31001,45197,46910,45601,47158
PCPI42001,"Adams County, PA",42001,43153,44831,45251,47067
PCPI19003,"Adams County, IA",19003,63766,70430,64080,59530
PCPI55001,"Adams County, WI",55001,34290,35798,36186,37748
PCPI18001,"Adams County, IN",18001,35251,34450,35804,36934
PCPI16003,"Adams County, ID",16003,33559,35939,37125,36851
PCPI28001,"Adams County, MS",28001,33882,32977,32466,33099
PCPI17001,"Adams County, IL",17001,40986,42063,42886,44373
PCPI50001,"Addison County, VT",50001,45741,46403,47858,49645
PCPI45003,"Aiken County, SC",45003,36845,38664,39304,40656
PCPI27001,"Aitkin County, MN",27001,34856,35018,36259,37793
PCPI12001,"Alachua County, FL",12001,38788,39979,40861,42280
PCPI37001,"Alamance County, NC",37001,35482,36755,37625,38839
PCPI06001,"Alameda County, CA",06001,58984,63809,67356,71282
PCPI08003,"Alamosa County, CO",08003,32195,34676,34553,35721
PCPI36001,"Albany County, NY",36001,54215,55554,56132,58048
PCPI56001,"Albany County, WY",56001,38997,39913,39845,40301
PCPI26001,"Alcona County, MI",26001,32646,34281,34950,36474
PCPI28003,"Alcorn County, MS",28003,31691,32676,33439,34644
PCPI02013,"Aleutians East Borough, AK",02013,40727,50363,58254,59084
PCPI02016,"Aleutians West CA, AK",02016,52333,52301,54893,53010
PCPI37003,"Alexander County, NC",37003,32363,34090,33973,35839
PCPI17003,"Alexander County, IL",17003,29236,31013,32158,33018
PCPI51510,"Alexandria city, VA",51510,80850,82481,82429,84079
PCPI40003,"Alfalfa County, OK",40003,47070,43527,38068,38309
PCPI26003,"Alger County, MI",26003,28938,30663,31533,32253
PCPI19005,"Allamakee County, IA",19005,41964,43950,42962,42852
PCPI26005,"Allegan County, MI",26005,38462,40069,41196,42406
PCPI24001,"Allegany County, MD",24001,35729,36891,38017,39320
PCPI36003,"Allegany County, NY",36003,31575,32384,32534,33942
PCPI37005,"Alleghany County, NC",37005,33902,36200,36324,37836
PCPI42003,"Allegheny County, PA",42003,52448,54875,55407,58146
PCPI22003,"Allen Parish, LA",22003,29037,29552,30450,32106
PCPI39003,"Allen County, OH",39003,36797,38332,39159,40925
