state,year,lawtotal
Alabama,2014,10
Alaska,2014,3
Arizona,2014,8
Arkansas,2014,11
California,2014,100
Colorado,2014,30
Connecticut,2014,85
Delaware,2014,38
Florida,2014,21
Georgia,2014,6
Hawaii,2014,78
Idaho,2014,5
Illinois,2014,65
Indiana,2014,11
Iowa,2014,25
Kansas,2014,8
Kentucky,2014,7
Louisiana,2014,12
Maine,2014,11
Maryland,2014,63
Massachusetts,2014,101
Michigan,2014,20
Minnesota,2014,39
Mississippi,2014,5
Missouri,2014,8
Montana,2014,4
Nebraska,2014,22
Nevada,2014,11
New Hampshire,2014,10
New Jersey,2014,67
New Mexico,2014,10
New York,2014,74
North Carolina,2014,30
North Dakota,2014,14
Ohio,2014,15
Oklahoma,2014,9
Oregon,2014,24
Pennsylvania,2014,37
Rhode Island,2014,43
South Carolina,2014,12
South Dakota,2014,5
Tennessee,2014,24
Texas,2014,20
Utah,2014,11
Vermont,2014,3
Virginia,2014,12
Washington,2014,41
West Virginia,2014,24
Wisconsin,2014,24
Wyoming,2014,6
Alabama,2015,10
Alaska,2015,3
Arizona,2015,8
Arkansas,2015,11
California,2015,102
Colorado,2015,30
Connecticut,2015,85
Delaware,2015,38
Florida,2015,21
Georgia,2015,6
Hawaii,2015,78
Idaho,2015,6
Illinois,2015,65
Indiana,2015,11
Iowa,2015,25
Kansas,2015,4
Kentucky,2015,7
Louisiana,2015,12
Maine,2015,11
Maryland,2015,64
Massachusetts,2015,101
Michigan,2015,21
Minnesota,2015,41
Mississippi,2015,2
Missouri,2015,8
Montana,2015,4
Nebraska,2015,22
Nevada,2015,15
New Hampshire,2015,10
New Jersey,2015,67
New Mexico,2015,10
New York,2015,74
North Carolina,2015,30
North Dakota,2015,14
Ohio,2015,16
Oklahoma,2015,9
Oregon,2015,33
Pennsylvania,2015,37
Rhode Island,2015,43
South Carolina,2015,12
South Dakota,2015,5
Tennessee,2015,24
Texas,2015,20
Utah,2015,11
Vermont,2015,6
Virginia,2015,12
Washington,2015,41
West Virginia,2015,24
Wisconsin,2015,23
Wyoming,2015,6
Alabama,2016,10
Alaska,2016,3
Arizona,2016,8
Arkansas,2016,11
California,2016,104
Colorado,2016,30
Connecticut,2016,90
Delaware,2016,39
Florida,2016,21
Georgia,2016,6
Hawaii,2016,79
Idaho,2016,2
Illinois,2016,65
Indiana,2016,12
Iowa,2016,25
Kansas,2016,4
Kentucky,2016,7
Louisiana,2016,12
Maine,2016,11
Maryland,2016,64
Massachusetts,2016,101
Michigan,2016,21
Minnesota,2016,41
Mississippi,2016,2
Missouri,2016,7
Montana,2016,4
Nebraska,2016,22
Nevada,2016,15
New Hampshire,2016,10
New Jersey,2016,67
New Mexico,2016,10
New York,2016,74
North Carolina,2016,30
North Dakota,2016,14
Ohio,2016,16
Oklahoma,2016,9
Oregon,2016,35
Pennsylvania,2016,37
Rhode Island,2016,43
South Carolina,2016,12
South Dakota,2016,5
Tennessee,2016,22
Texas,2016,18
Utah,2016,11
Vermont,2016,6
Virginia,2016,13
Washington,2016,43
West Virginia,2016,18
Wisconsin,2016,23
Wyoming,2016,6
Alabama,2017,10
Alaska,2017,3
Arizona,2017,8
Arkansas,2017,11
California,2017,106
Colorado,2017,30
Connecticut,2017,90
Delaware,2017,40
Florida,2017,21
Georgia,2017,6
Hawaii,2017,79
Idaho,2017,2
Illinois,2017,65
Indiana,2017,12
Iowa,2017,24
Kansas,2017,4
Kentucky,2017,7
Louisiana,2017,13
Maine,2017,11
Maryland,2017,64
Massachusetts,2017,101
Michigan,2017,21
Minnesota,2017,41
Mississippi,2017,2
Missouri,2017,2
Montana,2017,4
Nebraska,2017,22
Nevada,2017,21
New Hampshire,2017,9
New Jersey,2017,75
New Mexico,2017,10
New York,2017,74
North Carolina,2017,30
North Dakota,2017,10
Ohio,2017,16
Oklahoma,2017,9
Oregon,2017,35
Pennsylvania,2017,37
Rhode Island,2017,53
South Carolina,2017,12
South Dakota,2017,5
