month,state,permit,totals
2018-09,Alabama,19471,32706
2018-09,Alaska,212,5699
2018-09,Arizona,9651,30667
2018-09,Arkansas,4265,17072
2018-09,California,34638,91975
2018-09,Colorado,6491,35347
2018-09,Connecticut,5777,12754
2018-09,Delaware,154,2843
2018-09,District of Columbia,119,203
2018-09,Florida,14805,78804
2018-09,Georgia,14708,36097
2018-09,Guam,0,120
2018-09,Hawaii,971,975
2018-09,Idaho,6119,15566
2018-09,Illinois,12726,228695
2018-09,Indiana,25056,51787
2018-09,Iowa,5640,13861
2018-09,Kansas,1380,11429
2018-09,Kentucky,393160,409385
2018-09,Louisiana,3102,25058
2018-09,Maine,518,7926
2018-09,Mariana Islands,0,8
2018-09,Maryland,1948,10237
2018-09,Massachusetts,9704,16320
2018-09,Michigan,16189,34781
2018-09,Minnesota,24667,43339
2018-09,Mississippi,2074,17683
2018-09,Missouri,1867,35005
2018-09,Montana,1051,9770
2018-09,Nebraska,2923,4763
2018-09,Nevada,1730,8486
2018-09,New Hampshire,1339,9009
2018-09,New Jersey,0,6138
2018-09,New Mexico,891,11160
2018-09,New York,2763,29374
2018-09,North Carolina,15458,29572
2018-09,North Dakota,382,5226
2018-09,Ohio,10640,45698
2018-09,Oklahoma,1096,22160
2018-09,Oregon,4049,26644
2018-09,Pennsylvania,20170,70420
2018-09,Puerto Rico,0,2490
2018-09,Rhode Island,0,1621
2018-09,South Carolina,6193,20159
2018-09,South Dakota,1054,7305
2018-09,Tennessee,14255,46134
2018-09,Texas,39254,121366
2018-09,Utah,10846,18221
2018-09,Vermont,0,3590
2018-09,Virgin Islands,77,99
2018-09,Virginia,2169,33627
2018-09,Washington,11446,42874
2018-09,West Virginia,1973,15411
2018-09,Wisconsin,7944,33194
2018-09,Wyoming,564,4988
2018-08,Alabama,22465,37227
2018-08,Alaska,218,6818
2018-08,Arizona,12014,34149
2018-08,Arkansas,5684,20502
2018-08,California,38687,103019
2018-08,Colorado,10004,40922
2018-08,Connecticut,7057,14338
2018-08,Delaware,173,2914
2018-08,District of Columbia,235,329
2018-08,Florida,17524,89711
2018-08,Georgia,17288,40046
2018-08,Guam,0,133
2018-08,Hawaii,1125,1129
2018-08,Idaho,5550,14312
2018-08,Illinois,14583,242864
2018-08,Indiana,31327,60712
2018-08,Iowa,6819,14306
2018-08,Kansas,1902,12690
2018-08,Kentucky,393679,411800
2018-08,Louisiana,2866,24273
2018-08,Maine,466,6951
2018-08,Mariana Islands,0,13
2018-08,Maryland,2612,11281
2018-08,Massachusetts,10497,17975
2018-08,Michigan,19265,36381
2018-08,Minnesota,28585,41548
2018-08,Mississippi,2496,20545
2018-08,Missouri,1381,37674
2018-08,Montana,1069,9309
2018-08,Nebraska,2744,4456
2018-08,Nevada,2104,9350
2018-08,New Hampshire,1431,9005
2018-08,New Jersey,0,7216
2018-08,New Mexico,796,12038
2018-08,New York,2942,27145
2018-08,North Carolina,22956,39800
2018-08,North Dakota,546,4700
2018-08,Ohio,14802,50289
2018-08,Oklahoma,8,24190
2018-08,Oregon,4732,25648
2018-08,Pennsylvania,23896,74944
2018-08,Puerto Rico,0,2816
2018-08,Rhode Island,0,1733
2018-08,South Carolina,10452,27280
2018-08,South Dakota,1426,7156
2018-08,Tennessee,17141,52483
2018-08,Texas,45037,134727
2018-08,Utah,15480,22634
2018-08,Vermont,0,2781
2018-08,Virgin Islands,27,59
2018-08,Virginia,1786,34578
2018-08,Washington,13560,44867
2018-08,West Virginia,2248,15366
2018-08,Wisconsin,9330,32732
2018-08,Wyoming,279,4445
2018-07,Alabama,20642,32572
2018-07,Alaska,307,5714
2018-07,Arizona,6265,26359
2018-07,Arkansas,7406,19399
2018-07,California,39153,94672
2018-07,Colorado,9818,37788
2018-07,Connecticut,6810,13650
2018-07,Delaware,266,2840
2018-07,District of Columbia,156,246
2018-07,Florida,15888,82909
2018-07,Georgia,15689,34244
2018-07,Guam,0,145
2018-07,Hawaii,1050,1057
