latitude,longitude
43.2301,-86.2514
40.7417,-74.1695
40.7034,-73.7474
40.6715,-73.9476
37.2646,-93.3007
32.4848,-84.9727
43.0308,-76.1562
38.053,-84.4928
32.7866,-83.7199
38.7765,-77.4996
39.9641,-75.1916
37.0258,-76.3534
32.8548,-79.9977
39.3106,-76.7022
39.7457,-75.5668
39.0496,-108.525
32.8461,-79.9813
37.1536,-93.2778
34.7663,-86.6028
39.8952,-75.1241
29.9768,-90.055
37.1302,-113.416
41.049,-85.0909
29.8863,-90.1087
38.0795,-89.383
40.8179,-73.8628
38.434,-105.264
40.8623,-73.8959
33.5922,-101.818
41.1508,-100.78
32.7187,-80.1029
29.7654,-95.3663
42.4751,-70.9697
37.1422,-76.5355
30.6884,-87.048
26.6336,-81.8601
29.8862,-90.1087
33.2482,-87.567
31.3762,-90.5601
39.7981,-75.0288
33.9354,-79.9326
42.6828,-89.0187
31.7839,-86.1926
33.4464,-112.258
21.9986,-159.356
47.5498,-122.318
25.5155,-80.4089
28.5064,-81.1511
28.4907,-81.4077
38.4333,-84.3542
28.4532,-81.389
41.6824,-83.5364
37.6498,-97.3086
41.0679,-85.0921
30.0454,-89.9837
38.7649,-76.8712
38.9275,-77.0089
37.3691,-81.0813
42.1165,-72.586
32.6184,-83.6728
35.663,-101.404
43.0711,-87.8977
42.9887,-71.4554
28.899,-81.2615
41.8253,-71.4143
34.9624,-77.9622
31.4674,-110.974
27.9447,-82.4842
41.6011,-83.6245
35.7688,-78.6173
40.9752,-75.9845
42.8913,-78.8659
39.2857,-76.5682
36.8508,-76.2859
29.8877,-93.9602
37.3389,-120.497
38.9554,-76.8782
37.7953,-85.6381
36.737,-119.773
34.1481,-118.209
33.5922,-101.818
48.098,-122.322
34.6347,-98.4222
39.9394,-91.4067
36.0633,-79.7785
39.8258,-75.0659
39.9168,-74.9485
40.7951,-74.1562
47.6017,-122.299
40.884,-74.5621
47.5337,-122.372
32.4763,-84.9861
33.0363,-90.0028
41.7001,-73.9158
37.1446,-93.3448
34.2409,-88.6754
38.8847,-77.1672
33.8158,-79.1228
32.8458,-80.0293
41.3083,-72.9279
38.2501,-85.815
41.7035,-87.6259
36.1459,-80.251
40.6838,-73.9075
35.5711,-96.0152
34.0027,-86.0355
32.433,-84.9255
40.0331,-75.1069
42.5085,-94.1894
34.2514,-85.4531
41.04,-85.1163
65.3198,-151.89
34.7314,-92.259
29.9674,-90.0581
35.6029,-77.3481
31.3445,-109.557
34.735,-86.6314
29.9861,-90.0595
34.7954,-86.6138
39.7751,-104.948
41.6024,-72.6964
32.3157,-89.1528
33.4717,-86.8846
40.1015,-83.0127
