state,total
Alabama,75874
Alaska,9442
Arizona,33062
Arkansas,29453
California,164170
Colorado,47309
Connecticut,27883
Delaware,5847
District of Columbia,53
Florida,107882
Georgia,60222
Guam,203
Hawaii,1389
Idaho,14948
Illinois,147220
Indiana,74495
Iowa,14335
Kansas,22119
Kentucky,295697
Louisiana,44644
Maine,8990
Mariana Islands,0
Maryland,12462
Massachusetts,14332
Michigan,42291
Minnesota,43152
Mississippi,32564
Missouri,64574
Montana,13177
Nebraska,8917
Nevada,12590
New Hampshire,12247
New Jersey,8712
New Mexico,15881
New York,34849
North Carolina,56571
North Dakota,6795
Ohio,71731
Oklahoma,45311
Oregon,28411
Pennsylvania,95384
Puerto Rico,1417
Rhode Island,1988
South Carolina,34846
South Dakota,9645
Tennessee,72934
Texas,180658
Utah,26111
Vermont,3152
Virgin Islands,94
Virginia,49939
Washington,49826
West Virginia,26935
Wisconsin,31622
Wyoming,7031
Alabama,56324
Alaska,7851
Arizona,26203
Arkansas,25577
California,132469
Colorado,36523
Connecticut,23451
Delaware,4764
District of Columbia,45
Florida,87931
Georgia,44325
Guam,160
Hawaii,1078
Idaho,10932
Illinois,104606
Indiana,136175
Iowa,10906
Kansas,18147
Kentucky,84113
Louisiana,33557
Maine,7347
Mariana Islands,2
Maryland,12483
Massachusetts,13258
Michigan,39561
Minnesota,38258
Mississippi,24074
Missouri,60330
Montana,10052
Nebraska,7072
Nevada,8950
New Hampshire,10215
New Jersey,7612
New Mexico,12308
New York,33260
North Carolina,45758
North Dakota,6217
Ohio,64249
Oklahoma,37671
Oregon,22003
Pennsylvania,87572
Puerto Rico,1369
Rhode Island,1822
South Carolina,26987
South Dakota,8620
Tennessee,55288
Texas,138837
Utah,19211
Vermont,2833
Virgin Islands,94
Virginia,43955
Washington,44282
West Virginia,24050
Wisconsin,31027
Wyoming,5399
Alabama,50068
Alaska,9803
Arizona,25181
Arkansas,23097
California,128439
Colorado,35546
Connecticut,24547
Delaware,3802
District of Columbia,52
Florida,83962
Georgia,43186
Guam,172
Hawaii,1330
Idaho,11973
Illinois,103053
Indiana,80707
Iowa,10795
Kansas,14601
Kentucky,31756
Louisiana,29220
Maine,10133
Mariana Islands,2
Maryland,10073
Massachusetts,14369
Michigan,40169
Minnesota,45025
Mississippi,19086
Missouri,50021
Montana,12833
Nebraska,6735
Nevada,8873
New Hampshire,11633
New Jersey,7435
New Mexico,12641
New York,34659
North Carolina,43204
North Dakota,7836
Ohio,53277
Oklahoma,30881
Oregon,20667
Pennsylvania,83119
Puerto Rico,1402
Rhode Island,1889
South Carolina,24311
South Dakota,9445
Tennessee,44933
Texas,122547
Utah,16476
Vermont,3101
Virgin Islands,127
Virginia,36419
Washington,41682
West Virginia,20922
Wisconsin,33262
Wyoming,5421
Alabama,45081
Alaska,6625
Arizona,23538
Arkansas,17053
California,118856
Colorado,30504
Connecticut,22160
Delaware,3289
District of Columbia,48
Florida,77573
Georgia,35423
Guam,181
Hawaii,1153
Idaho,11211
Illinois,117143
Indiana,34547
Iowa,8494
Kansas,12558
Kentucky,80383
Louisiana,31703
Maine,7667
Mariana Islands,2
Maryland,8480
Massachusetts,12394
Michigan,37179
Minnesota,41988
Mississippi,20332
Missouri,39077
Montana,10880
Nebraska,5577
Nevada,8630
New Hampshire,9668
New Jersey,6470
New Mexico,10973
New York,28575
North Carolina,35405
North Dakota,5914
Ohio,42944
Oklahoma,25886
Oregon,19544
Pennsylvania,71450
Puerto Rico,1316
Rhode Island,1570
South Carolina,20378
South Dakota,7166
Tennessee,38227
Texas,114900
Utah,17531
Vermont,2743
Virgin Islands,112
Virginia,31726
Washington,35256
West Virginia,16952
Wisconsin,27754
Wyoming,5296
Alabama,45465
Alaska,7816
Arizona,26519
Arkansas,15895
California,119570
Colorado,32230
Connecticut,16479
Delaware,3415
District of Columbia,47
Florida,75868
Georgia,35344
Guam,162
Hawaii,1130
Idaho,10295
Illinois,91721
Indiana,37077
Iowa,7923
Kansas,11796
Kentucky,232853
Louisiana,24409
Maine,6313
Mariana Islands,0
Maryland,8265
Massachusetts,13949
Michigan,32189
Minnesota,37674
Mississippi,15732
Missouri,40886
Montana,9986
Nebraska,4763
Nevada,8780
New Hampshire,9688
New Jersey,6828
New Mexico,10816
New York,27139
North Carolina,35184
North Dakota,5239
Ohio,42044
Oklahoma,25875
Oregon,16665
Pennsylvania,67743
Puerto Rico,1391
Rhode Island,1617
South Carolina,22184
South Dakota,6261
Tennessee,39800
Texas,115497
Utah,19335
Vermont,2280
Virgin Islands,132
Virginia,30501
Washington,32674
West Virginia,15799
Wisconsin,24467
Wyoming,4637
Alabama,43600
Alaska,6035
Arizona,21193
Arkansas,13484
California,104309
Colorado,29247
Connecticut,12620
Delaware,2960
District of Columbia,49
Florida,70230
Georgia,32987
Guam,126
Hawaii,1291
Idaho,8251
Illinois,86596
Indiana,31816
Iowa,7575
Kansas,10381
Kentucky,248979
Louisiana,17996
Maine,4923
Mariana Islands,2
Maryland,6878
Massachusetts,12638
Michigan,29119
Minnesota,33483
Mississippi,11995
Missouri,30494
Montana,7798
Nebraska,3704
Nevada,8108
New Hampshire,8374
New Jersey,6792
New Mexico,9168
New York,27126
North Carolina,31117
North Dakota,4382
Ohio,37889
Oklahoma,21917
Oregon,14896
Pennsylvania,59582
Puerto Rico,1219
Rhode Island,1374
South Carolina,19093
South Dakota,4984
Tennessee,34494
Texas,94876
Utah,19385
Vermont,1868
Virgin Islands,63
Virginia,28031
Washington,31164
West Virginia,13298
Wisconsin,19541
Wyoming,4205
Alabama,41709
Alaska,6005
Arizona,22049
Arkansas,14177
California,102639
Colorado,26802
Connecticut,13270
Delaware,2928
District of Columbia,23
Florida,70597
Georgia,30386
Guam,145
Hawaii,1210
Idaho,9745
Illinois,112407
Indiana,30807
Iowa,8569
Kansas,10053
Kentucky,214382
Louisiana,18906
Maine,4783
Mariana Islands,1
Maryland,7320
Massachusetts,13474
Michigan,28148
Minnesota,35400
Mississippi,11455
Missouri,30079
Montana,8454
Nebraska,3550
Nevada,9000
New Hampshire,8534
New Jersey,6649
New Mexico,9546
New York,23810
North Carolina,32577
North Dakota,4224
Ohio,35267
Oklahoma,21797
Oregon,16461
Pennsylvania,56296
Puerto Rico,1188
Rhode Island,1251
South Carolina,19781
South Dakota,4781
Tennessee,32665
Texas,91133
Utah,23271
Vermont,1736
Virgin Islands,105
Virginia,26351
Washington,32647
West Virginia,12646
Wisconsin,19302
Wyoming,4644
Alabama,43111
Alaska,7166
Arizona,24566
Arkansas,17070
California,120661
Colorado,31697
Connecticut,14437
Delaware,3896
District of Columbia,31
Florida,78127
Georgia,33247
Guam,166
