county,population
Alabama,4842481
Autauga County,54876
Baldwin County,199189
Barbour County,26758
Bibb County,22541
Blount County,57521
Bullock County,10665
Butler County,20343
Calhoun County,115995
Chambers County,33980
Cherokee County,25902
Chilton County,43769
Choctaw County,13317
Clarke County,24865
Clay County,13440
Cleburne County,15025
Coffee County,50655
Colbert County,54468
Conecuh County,12679
Coosa County,11038
Covington County,37756
Crenshaw County,13859
Cullman County,81067
Dale County,49417
Dallas County,41562
DeKalb County,70999
Elmore County,80568
Escambia County,37738
Etowah County,103407
Fayette County,16768
Franklin County,31561
Geneva County,26597
Greene County,8585
Hale County,15047
Henry County,17082
Houston County,104156
Jackson County,52562
Jefferson County,659918
Lamar County,14067
Lauderdale County,93013
Lawrence County,33448
Lee County,154545
Limestone County,90596
Lowndes County,10498
Macon County,19648
Madison County,349807
Marengo County,19980
Marion County,30202
Marshall County,94277
Mobile County,414590
Monroe County,21927
Montgomery County,227546
Morgan County,119458
Perry County,9804
Pickens County,20283
Pike County,33197
Randolph County,22355
Russell County,59211
St. Clair County,85995
Shelby County,206356
Sumter County,13275
Talladega County,81450
Tallapoosa County,40887
Tuscaloosa County,203097
Walker County,65336
Washington County,16868
Wilcox County,10953
Winston County,24137
Alaska,736307
Aleutians East Borough,3348
Aleutians West Census Area,5822
Anchorage Municipality,299927
Bethel Census Area,17933
Bristol Bay Borough,949
Denali Borough,1915
Dillingham Census Area,4983
Fairbanks North Star Borough,99256
Haines Borough,2555
Hoonah-Angoon Census Area,2103
Juneau City and Borough,32476
Kenai Peninsula Borough,57565
Ketchikan Gateway Borough,13801
Kodiak Island Borough,13904
Kusilvak Census Area,8098
Lake and Peninsula Borough,1645
Matanuska-Susitna Borough,98104
Nome Census Area,9803
North Slope Borough,9769
Northwest Arctic Borough,7771
Petersburg Borough,3265
Prince of Wales-Hyder Census Area,6460
Sitka City and Borough,8839
Skagway Municipality,1053
Southeast Fairbanks Census Area,6922
Valdez-Cordova Census Area,9475
Wrangell City and Borough,2447
Yakutat City and Borough,655
Yukon-Koyukuk Census Area,5464
Arizona,6733840
Apache County,71820
Cochise County,127352
Coconino County,137583
Gila County,53070
Graham County,38124
Greenlee County,9341
La Paz County,20529
Maricopa County,4095508
Mohave County,203474
Navajo County,107724
Pima County,1004675
Pinal County,395915
Santa Cruz County,46703
Yavapai County,217739
Yuma County,204283
Arkansas,2967726
Arkansas County,18476
Ashley County,20959
Baxter County,40884
Benton County,244882
Boone County,37102
Bradley County,11016
Calhoun County,5168
Carroll County,27735
Chicot County,11202
Clark County,22565
Clay County,15297
Cleburne County,25605
Cleveland County,8398
Columbia County,24046
Conway County,20991
Craighead County,102661
Crawford County,61817
Crittenden County,49577
Cross County,17183
Dallas County,7692
Desha County,12270
Drew County,18640
Faulkner County,120567
Franklin County,17820
Fulton County,12083
Garland County,97754
Grant County,18073
Greene County,43787
Hempstead County,22338
Hot Spring County,33400
Howard County,13510
Independence County,37079
Izard County,13553
Jackson County,17595
Jefferson County,72469
Johnson County,25971
Lafayette County,7164
Lawrence County,16971
Lee County,9843
Lincoln County,14030
Little River County,12524
Logan County,21859
Lonoke County,71338
Madison County,15733
Marion County,16420
Miller County,43566
Mississippi County,44250
Monroe County,7635
Montgomery County,9158
Nevada County,8651
Newton County,7879
Ouachita County,24763
Perry County,10353
Phillips County,19960
Pike County,10987
Poinsett County,24152
Polk County,20255
Pope County,63111
Prairie County,8345
Pulaski County,392990
Randolph County,17568
St. Francis County,27096
Saline County,114861
Scott County,10665
Searcy County,7917
Sebastian County,126784
Sevier County,17429
Sharp County,16822
Stone County,12379
Union County,40140
Van Buren County,16880
Washington County,219976
White County,78459
Woodruff County,6874
Yell County,21774
California,38625139
Alameda County,1608674
Alpine County,1082
Amador County,36738
Butte County,223570
Calaveras County,44673
Colusa County,21198
Contra Costa County,1109358
Del Norte County,27198
El Dorado County,183161
Fresno County,961311
Glenn County,27857
Humboldt County,134514
Imperial County,178233
Inyo County,18320
Kern County,869957
Kings County,149603
Lake County,64058
Lassen County,31710
Los Angeles County,10048408
Madera County,153590
Marin County,260435
Mariposa County,17713
Mendocino County,87257
Merced County,264649
Modoc County,9080
Mono County,14142
Monterey County,428980
Napa County,140567
Nevada County,98589
Orange County,3130322
Placer County,369326
Plumas County,18662
Riverside County,2317955
Sacramento County,1475618
San Benito County,57867
San Bernardino County,2100776
San Diego County,3250993
San Francisco County,851116
San Joaquin County,711771
San Luis Obispo County,278296
San Mateo County,757670
Santa Barbara County,439358
Santa Clara County,1892984
Santa Cruz County,271035
Shasta County,178905
Sierra County,2980
Siskiyou County,43379
Solano County,429155
Sonoma County,498803
Stanislaus County,528346
Sutter County,94830
Tehama County,62788
Trinity County,13123
Tulare County,455602
Tuolumne County,53828
Ventura County,842946
Yolo County,208518
Yuba County,73562
Colorado,5351218
Adams County,480263
Alamosa County,16220
Arapahoe County,618798
Archuleta County,12233
Baca County,3587
Bent County,5784
Boulder County,313298
Broomfield County,61769
Chaffee County,18453
Cheyenne County,1846
Clear Creek County,9114
Conejos County,8233
Costilla County,3564
Crowley County,5609
Custer County,4344
Delta County,29965
Denver County,664870
Dolores County,1977
Douglas County,314574
Eagle County,53323
Elbert County,24033
El Paso County,663266
Fremont County,46133
Garfield County,57201
Gilpin County,5751
Grand County,14559
Gunnison County,15842
Hinsdale County,773
Huerfano County,6396
Jackson County,1385
Jefferson County,559085
Kiowa County,1380
Kit Carson County,8020
Lake County,7320
La Plata County,53788
Larimer County,324061
Las Animas County,14044
Lincoln County,5504
Logan County,21748
Mesa County,147312
Mineral County,703
Moffat County,12934
Montezuma County,25516
Montrose County,40596
Morgan County,28120
Otero County,18367
Ouray County,4574
Park County,16384
Phillips County,4395
Pitkin County,17726
Prowers County,12089
Pueblo County,161480
Rio Blanco County,6625
Rio Grande County,11508
Routt County,24083
Saguache County,6198
San Juan County,711
San Miguel County,7740
Sedgwick County,2333
Summit County,29330
Teller County,23430
Washington County,4732
Weld County,276037
Yuma County,10182
Connecticut,3594783
Fairfield County,944355
Hartford County,897493
Litchfield County,185398
Middlesex County,164597
New Haven County,862996
New London County,271465
Tolland County,151710
Windham County,116769
Delaware,932596
Kent County,171458
New Castle County,550851
Sussex County,210287
District of Columbia,662513
District of Columbia,662513
Florida,19860330
Alachua County,255499
Baker County,27118
Bay County,178305
Bradford County,26553
Brevard County,555598
Broward County,1861602
Calhoun County,14451
Charlotte County,168075
Citrus County,138833
Clay County,198572
Collier County,347326
Columbia County,67784
DeSoto County,35344
Dixie County,16038
Duval County,896743
Escambia County,307951
Flagler County,101922
Franklin County,11658
Gadsden County,46119
Gilchrist County,16987
Glades County,12952
Gulf County,16000
Hamilton County,14070
Hardee County,27281
Hendry County,38508
Hernando County,175322
Highlands County,98606
Hillsborough County,1317571
Holmes County,19566
Indian River County,144469
Jackson County,48733
Jefferson County,14052
Lafayette County,8869
Lake County,315388
Lee County,677361
Leon County,283785
Levy County,39302
Liberty County,8414
Madison County,18602
Manatee County,350972
Marion County,338057
Martin County,153153
Miami-Dade County,2660389
Monroe County,76284
Nassau County,76253
Okaloosa County,194633
Okeechobee County,39581
Orange County,1256908
Osceola County,311137
Palm Beach County,1399039
Pasco County,483465
Pinellas County,936517
Polk County,634520
Putnam County,71968
St. Johns County,217865
St. Lucie County,290146
Santa Rosa County,162669
Sarasota County,396445
Seminole County,441453
