Region Name,Region Code,2014,2015,2016,2017,average
"Abbeville County, SC",45001,17.8,15.4,12.0,17.0,15.6
"Acadia Parish, LA",22001,18.4,20.4,19.8,19.6,19.6
"Accomack County, VA",51001,15.4,17.1,16.5,14.3,15.8
"Ada County, ID",16001,10.5,10.5,9.6,9.8,10.1
"Adair County, OK",40001,23.0,24.7,25.0,23.4,24.0
"Adair County, KY",21001,21.2,22.0,21.4,17.2,20.5
"Adair County, MO",29001,23.5,17.8,19.8,21.9,20.8
"Adair County, IA",19001,8.0,9.7,8.4,7.9,8.5
"Adams County, WI",55001,14.9,14.6,10.9,12.0,13.1
"Adams County, IN",18001,12.6,10.2,12.9,13.3,12.3
"Adams County, CO",08001,11.6,11.4,10.5,9.4,10.7
"Adams County, OH",39001,21.1,17.8,16.5,14.9,17.6
"Adams County, IA",19003,9.4,9.8,9.6,9.6,9.6
"Adams County, PA",42001,9.3,7.0,7.8,6.7,7.7
"Adams County, ID",16003,11.3,12.3,11.8,11.2,11.7
"Adams County, ND",38001,7.8,7.8,7.4,7.2,7.6
"Adams County, WA",53001,15.6,13.3,16.6,12.7,14.6
"Adams County, MS",28001,28.0,24.4,26.4,27.6,26.6
"Adams County, IL",17001,11.7,11.2,10.7,11.4,11.3
"Adams County, NE",31001,10.1,10.5,10.4,9.9,10.2
"Addison County, VT",50001,7.3,6.8,7.6,6.3,7.0
"Aiken County, SC",45003,14.2,15.7,15.0,12.5,14.4
"Aitkin County, MN",27001,12.3,11.8,10.7,9.8,11.2
"Alachua County, FL",12001,19.6,19.2,20.4,19.3,19.6
"Alamance County, NC",37001,15.9,17.0,14.2,12.5,14.9
"Alameda County, CA",06001,11.8,10.8,10.0,8.7,10.3
"Alamosa County, CO",08003,18.0,19.5,20.8,16.8,18.8
"Albany County, WY",56001,21.6,17.6,14.9,17.4,17.9
"Albany County, NY",36001,11.9,11.1,10.7,9.9,10.9
"Albemarle County, VA",51003,7.5,8.1,6.9,6.4,7.2
"Alcona County, MI",26001,14.5,12.8,13.4,11.4,13.0
"Alcorn County, MS",28003,18.0,15.5,13.2,15.5,15.6
"Aleutians East Borough, AK",02013,12.4,13.3,11.1,10.9,11.9
"Aleutians West CA, AK",02016,8.1,6.4,6.1,6.0,6.7
"Alexander County, IL",17003,29.5,22.6,22.7,23.7,24.6
"Alexander County, NC",37003,13.5,13.0,12.4,9.4,12.1
"Alexandria city, VA",51510,8.0,7.6,9.0,8.6,8.3
"Alfalfa County, OK",40003,13.0,11.2,12.4,12.0,12.2
"Alger County, MI",26003,12.4,11.5,10.9,10.0,11.2
"Allamakee County, IA",19005,9.6,8.3,11.1,8.6,9.4
"Allegan County, MI",26005,9.7,9.5,7.4,7.8,8.6
"Allegany County, NY",36003,15.4,14.2,15.5,13.6,14.7
"Allegany County, MD",24001,15.8,16.9,14.0,13.9,15.2
"Alleghany County, NC",37005,16.3,19.0,16.6,17.0,17.2
"Alleghany County, VA",51005,13.1,15.6,12.4,11.8,13.2
"Allegheny County, PA",42003,12.4,11.5,10.8,10.3,11.3
"Allen Parish, LA",22003,18.3,15.6,17.1,16.3,16.8
"Allen County, OH",39003,16.0,13.1,13.5,13.3,14.0
"Allen County, KY",21003,14.9,16.0,15.0,18.7,16.2
"Allen County, IN",18003,13.9,13.4,13.9,11.8,13.3
"Allen County, KS",20001,14.6,15.6,12.0,13.3,13.9
"Allendale County, SC",45005,30.7,31.7,29.9,28.5,30.2
"Alpena County, MI",26007,14.0,13.4,12.9,11.3,12.9
"Alpine County, CA",06003,14.7,14.7,14.5,13.9,14.5
"Amador County, CA",06005,10.1,10.7,8.9,8.4,9.5
"Amelia County, VA",51007,10.3,8.5,8.0,9.1,9.0
"Amherst County, VA",51009,10.7,12.5,11.8,9.9,11.2
"Amite County, MS",28005,18.7,17.4,19.7,19.0,18.7
"Anchorage Muny, AK",02020,8.8,7.6,6.1,8.4,7.7
"Anderson County, TN",47001,12.7,17.3,11.8,12.7,13.6
"Anderson County, SC",45007,14.6,14.9,13.4,12.6,13.9
"Anderson County, KY",21005,8.9,8.5,8.6,8.4,8.6
"Anderson County, TX",48001,16.2,17.0,16.1,14.3,15.9
"Anderson County, KS",20003,11.1,11.0,10.1,10.5,10.7
"Andrew County, MO",29003,8.7,7.5,7.7,6.1,7.5
"Andrews County, TX",48003,8.2,8.1,9.3,10.2,9.0
"Androscoggin County, ME",23001,13.2,12.7,10.5,10.2,11.7
"Angelina County, TX",48005,14.7,15.0,16.1,17.5,15.8
