STNAME,CTYNAME,POPESTIMATE2015
Alabama,Alabama,4853160
Alabama,Autauga County,54838
Alabama,Baldwin County,202995
Alabama,Barbour County,26294
Alabama,Bibb County,22562
Alabama,Blount County,57522
Alabama,Bullock County,10400
Alabama,Butler County,20176
Alabama,Calhoun County,115536
Alabama,Chambers County,34007
Alabama,Cherokee County,25739
Alabama,Chilton County,43717
Alabama,Choctaw County,13233
Alabama,Clarke County,24703
Alabama,Clay County,13413
Alabama,Cleburne County,14917
Alabama,Coffee County,50952
Alabama,Colbert County,54370
Alabama,Conecuh County,12680
Alabama,Coosa County,10938
Alabama,Covington County,37551
Alabama,Crenshaw County,13857
Alabama,Cullman County,81764
Alabama,Dale County,49349
Alabama,Dallas County,40948
Alabama,DeKalb County,71112
Alabama,Elmore County,80924
Alabama,Escambia County,37665
Alabama,Etowah County,103003
Alabama,Fayette County,16693
Alabama,Franklin County,31541
Alabama,Geneva County,26636
Alabama,Greene County,8509
Alabama,Hale County,15018
Alabama,Henry County,17106
Alabama,Houston County,104268
Alabama,Jackson County,52218
Alabama,Jefferson County,660370
Alabama,Lamar County,13925
Alabama,Lauderdale County,92477
Alabama,Lawrence County,33138
Alabama,Lee County,157009
Alabama,Limestone County,91571
Alabama,Lowndes County,10353
Alabama,Macon County,19306
Alabama,Madison County,352989
Alabama,Marengo County,19760
Alabama,Marion County,30123
Alabama,Marshall County,94606
Alabama,Mobile County,414935
Alabama,Monroe County,21717
Alabama,Montgomery County,227244
Alabama,Morgan County,119281
Alabama,Perry County,9638
Alabama,Pickens County,20776
Alabama,Pike County,33522
Alabama,Randolph County,22598
Alabama,Russell County,58837
Alabama,St. Clair County,86546
Alabama,Shelby County,209084
Alabama,Sumter County,13206
Alabama,Talladega County,81055
Alabama,Tallapoosa County,40611
Alabama,Tuscaloosa County,204736
Alabama,Walker County,64933
Alabama,Washington County,16828
Alabama,Wilcox County,10903
Alabama,Winston County,23929
Alaska,Alaska,737547
Alaska,Aleutians East Borough,3381
Alaska,Aleutians West Census Area,5781
Alaska,Anchorage Municipality,297613
Alaska,Bethel Census Area,17955
Alaska,Bristol Bay Borough,905
Alaska,Denali Borough,1927
Alaska,Dillingham Census Area,4987
Alaska,Fairbanks North Star Borough,99630
Alaska,Haines Borough,2516
Alaska,Hoonah-Angoon Census Area,2137
Alaska,Juneau City and Borough,32601
Alaska,Kenai Peninsula Borough,58029
Alaska,Ketchikan Gateway Borough,13706
Alaska,Kodiak Island Borough,13766
Alaska,Kusilvak Census Area,8187
Alaska,Lake and Peninsula Borough,1592
Alaska,Matanuska-Susitna Borough,101068
Alaska,Nome Census Area,9885
Alaska,North Slope Borough,9795
Alaska,Northwest Arctic Borough,7771
Alaska,Petersburg Borough,3259
Alaska,Prince of Wales-Hyder Census Area,6505
Alaska,Sitka City and Borough,8778
Alaska,Skagway Municipality,1087
Alaska,Southeast Fairbanks Census Area,6804
Alaska,Valdez-Cordova Census Area,9322
Alaska,Wrangell City and Borough,2459
Alaska,Yakutat City and Borough,635
Alaska,Yukon-Koyukuk Census Area,5466
Arizona,Arizona,6833596
Arizona,Apache County,71022
Arizona,Cochise County,126502
Arizona,Coconino County,139024
Arizona,Gila County,53006
Arizona,Graham County,37873
Arizona,Greenlee County,9575
Arizona,La Paz County,20483
Arizona,Maricopa County,4175049
Arizona,Mohave County,204661
Arizona,Navajo County,107688
Arizona,Pima County,1009737
Arizona,Pinal County,406073
Arizona,Santa Cruz County,46602
Arizona,Yavapai County,220845
Arizona,Yuma County,205456
Arkansas,Arkansas,2978407
Arkansas,Arkansas County,18325
Arkansas,Ashley County,20838
Arkansas,Baxter County,41136
Arkansas,Benton County,251673
Arkansas,Boone County,37112
Arkansas,Bradley County,11007
Arkansas,Calhoun County,5201
Arkansas,Carroll County,27775
Arkansas,Chicot County,10960
Arkansas,Clark County,22517
Arkansas,Clay County,15200
Arkansas,Cleburne County,25361
Arkansas,Cleveland County,8284
Arkansas,Columbia County,24126
Arkansas,Conway County,20930
Arkansas,Craighead County,104419
Arkansas,Crawford County,61910
Arkansas,Crittenden County,49071
Arkansas,Cross County,17254
Arkansas,Dallas County,7531
Arkansas,Desha County,12022
Arkansas,Drew County,18617
Arkansas,Faulkner County,121209
Arkansas,Franklin County,17755
Arkansas,Fulton County,12137
Arkansas,Garland County,97816
Arkansas,Grant County,18014
Arkansas,Greene County,44298
Arkansas,Hempstead County,22094
Arkansas,Hot Spring County,33480
Arkansas,Howard County,13353
Arkansas,Independence County,37034
Arkansas,Izard County,13483
Arkansas,Jackson County,17371
