State,County,n_incidents
Alabama,Alpine,2
Alabama,Autauga,39
Alabama,Baldwin,85
Alabama,Barbour,20
Alabama,Bibb,8
Alabama,Blount,20
Alabama,Bullock,18
Alabama,Butler,26
Alabama,Calhoun,95
Alabama,Chambers,27
Alabama,Cherokee,14
Alabama,Chilton,21
Alabama,Choctaw,7
Alabama,Clarke,2
Alabama,Clay,3
Alabama,Cleburne,7
Alabama,Coffee,34
Alabama,Colbert,39
Alabama,Columbus,1
Alabama,Conecuh,3
Alabama,Coosa,7
Alabama,Covington,20
Alabama,Crenshaw,9
Alabama,Cullman,32
Alabama,Dale,28
Alabama,Dallas,146
Alabama,DeKalb,38
Alabama,Dekalb,2
Alabama,Elmore,46
Alabama,Escambia,28
Alabama,Etowah,76
Alabama,Fayette,1
Alabama,Franklin,21
Alabama,Geneva,11
Alabama,Greene,7
Alabama,Hale,12
Alabama,Henry,3
Alabama,Houston,95
Alabama,Jackson,20
Alabama,Jefferson,1453
Alabama,Lamar,3
Alabama,Lauderdale,57
Alabama,Lawrence,11
Alabama,Lee,129
Alabama,Limestone,72
Alabama,Lowndes,9
Alabama,Macon,29
Alabama,Madison,604
Alabama,Marengo,12
Alabama,Marion,7
Alabama,Marshall,56
Alabama,Mobile,706
Alabama,Monroe,3
Alabama,Montgomery,495
Alabama,Morgan,120
Alabama,Perry,9
Alabama,Pickens,6
Alabama,Pickens County,1
Alabama,Pike,39
Alabama,Randolph,3
Alabama,Russell,60
Alabama,Saint Clair,1
Alabama,Shelby,43
Alabama,St. Clair,17
Alabama,Sumter,13
Alabama,Sunflower,1
Alabama,Talladega,39
Alabama,Tallapoosa,38
Alabama,Tuscaloosa,253
Alabama,Walker,27
Alabama,Washington,2
Alabama,Wilcox,11
Alabama,Winston,2
Alaska,Aleutians West,1
Alaska,Anchorage,494
Alaska,Barrow,10
Alaska,Bethel,41
Alaska,Bristol Bay,1
Alaska,Denali,6
Alaska,Dillingham,18
Alaska,Fairbanks North Star,248
Alaska,Haines,5
Alaska,Hoonah-Angoon,2
Alaska,Juneau,99
Alaska,Kenai Peninsula,84
Alaska,Ketchikan Gateway,16
Alaska,Kodiak Island,17
