date,state,city_or_county,n_killed,n_injured,n_total,county
1/1/2014,Alabama,Crenshaw,1,0,1,Crenshaw
1/1/2014,Mississippi,Franklin,0,0,0,Franklin
1/2/2014,California,Huntington,0,1,1,Huntington
1/3/2014,West Virginia,Wilkinson,0,1,1,Wilkinson
1/3/2014,Florida,Broward,0,0,0,Broward
1/4/2014,Arkansas,Leflore,0,0,0,Leflore
1/4/2014,Florida,Broward,0,0,0,Broward
1/4/2014,Virginia,Henrico,0,1,1,Henrico
1/5/2014,Virginia,Henrico,0,0,0,Henrico
1/5/2014,Ohio,Erie,1,3,4,Erie
1/5/2014,Florida,Charlotte,0,0,0,Charlotte
1/5/2014,New Jersey,Orange,0,1,1,Orange
1/5/2014,Maryland,Washington,0,0,0,Washington
1/6/2014,Louisiana,Bossier,0,0,0,Bossier
1/6/2014,Maryland,Hanover,0,0,0,Hanover
1/7/2014,Florida,Broward,0,0,0,Broward
1/8/2014,New York,Amherst,0,0,0,Amherst
1/9/2014,Florida,Manatee,0,0,0,Manatee
1/10/2014,Florida,Collier,0,0,0,Collier
1/10/2014,Florida,Bay,0,0,0,Bay
1/12/2014,Florida,Miami-Dade,1,0,1,Miami-Dade
1/12/2014,Alabama,Blount,1,0,1,Blount
1/12/2014,New Hampshire,Windham,0,0,0,Windham
1/12/2014,Alabama,Tallapoosa,1,0,1,Tallapoosa
1/13/2014,Virginia,Henrico,0,0,0,Henrico
1/13/2014,Mississippi,Claiborne,1,0,1,Claiborne
1/13/2014,California,Mesa,0,1,1,Mesa
1/13/2014,Virginia,York,0,0,0,York
1/13/2014,Maryland,Hanover,0,0,0,Hanover
1/14/2014,New York,Clay,0,0,0,Clay
1/14/2014,Mississippi,Warren,0,2,2,Warren
1/15/2014,Massachusetts,Dorchester,1,0,1,Dorchester
1/15/2014,Florida,Broward,0,1,1,Broward
1/16/2014,Virginia,Middlesex,0,0,0,Middlesex
1/19/2014,Georgia,Cobb,0,0,0,Cobb
1/19/2014,Texas,Tulsa,1,0,1,Tulsa
1/20/2014,Florida,Putnam,0,1,1,Putnam
1/21/2014,Florida,Manatee,0,2,2,Manatee
1/21/2014,Washington,Thurston,0,1,1,Thurston
1/22/2014,Virginia,York,0,2,2,York
1/23/2014,Virginia,Henrico,0,0,0,Henrico
1/24/2014,Massachusetts,Dorchester,1,0,1,Dorchester
1/24/2014,Florida,Manatee,1,0,1,Manatee
1/25/2014,Florida,Manatee,0,0,0,Manatee
1/25/2014,Florida,Broward,0,0,0,Broward
1/26/2014,Florida,Volusia,0,1,1,Volusia
1/26/2014,Maryland,Hanover,0,0,0,Hanover
1/26/2014,Connecticut,Stafford,0,0,0,Stafford
1/27/2014,Florida,Manatee,0,1,1,Manatee
1/27/2014,Florida,Collier,0,0,0,Collier
1/28/2014,New York,Amherst,0,0,0,Amherst
1/29/2014,Florida,Collier,0,0,0,Collier
2/1/2014,Maryland,Hanover,0,0,0,Hanover
