date,state,city_or_county,n_killed,n_injured,n_total,county
2/3/2013,California,Yuba,1,3,4,Yuba
2/19/2013,California,Orange,4,3,7,Orange
3/3/2013,Michigan,Saginaw,0,4,4,Saginaw
3/30/2013,California,Merced,3,2,5,Merced
1/1/2014,Louisiana,Richland Parish,0,1,1,Richland Parish
1/7/2014,Virginia,Loudoun,2,1,3,Loudoun
1/14/2014,Texas,Parker,0,1,1,Parker
1/26/2014,New Mexico,Bernalillo,0,1,1,Bernalillo
1/28/2014,Oregon,Lane,0,0,0,Lane
2/6/2014,Montana,Flathead,0,1,1,Flathead
2/12/2014,Washington,Thurston,1,0,1,Thurston
2/17/2014,Indiana,Warrick,1,0,1,Warrick
2/19/2014,Indiana,Allen,0,0,0,Allen
2/19/2014,Kentucky,Wolfe,0,1,1,Wolfe
3/19/2014,Virginia,Russell,0,1,1,Russell
4/8/2014,Texas,Jim Wells,1,0,1,Jim Wells
4/12/2014,Nebraska,York,0,0,0,York
4/20/2014,Texas,Gaines,0,2,2,Gaines
4/24/2014,Illinois,Williamson,0,0,0,Williamson
5/5/2014,Ohio,Muskingum,1,0,1,Muskingum
5/16/2014,Florida,Orange,0,0,0,Orange
5/25/2014,Pennsylvania,Tioga,0,0,0,Tioga
6/8/2014,New Mexico,Dona Ana,0,0,0,Dona Ana
6/12/2014,Illinois,Sangamon,0,0,0,Sangamon
6/22/2014,Idaho,Kootenai County,0,1,1,Kootenai County
6/29/2014,Florida,Escambia,0,1,1,Escambia
7/4/2014,Missouri,Saint Charles,0,0,0,Saint Charles
7/5/2014,Idaho,Shoshone,0,1,1,Shoshone
7/17/2014,Texas,Bell,1,0,1,Bell
7/26/2014,Arizona,Maricopa,0,1,1,Maricopa
8/1/2014,Missouri,Lincoln,0,0,0,Lincoln
8/2/2014,Wisconsin,Saint Croix,0,0,0,Saint Croix
8/8/2014,Texas,Bowie,1,1,2,Bowie
8/9/2014,Wisconsin,Saint Croix,0,0,0,Saint Croix
8/9/2014,New Mexico,San Juan,0,0,0,San Juan
8/11/2014,Texas,Galveston,0,1,1,Galveston
8/13/2014,Minnesota,Pope,1,0,1,Pope
8/15/2014,Oregon,Coos,0,2,2,Coos
8/18/2014,New Mexico,Chaves,0,0,0,Chaves
8/27/2014,Mississippi,Clarke,0,0,0,Clarke
8/28/2014,Florida,Manatee,1,0,1,Manatee
9/1/2014,Pennsylvania,Franklin,0,0,0,Franklin
9/2/2014,Oregon,Hood River,2,0,2,Hood River
9/3/2014,Texas,Jones,1,0,1,Jones
9/4/2014,Oregon,Klamath,0,0,0,Klamath
9/8/2014,Maine,Oxford,0,1,1,Oxford
9/13/2014,Alabama,Pickens County,1,0,1,Pickens County
9/23/2014,Minnesota,Beltrami,0,0,0,Beltrami
9/28/2014,Ohio,Ashtabula,0,0,0,Ashtabula
10/1/2014,Arizona,Mojave,0,1,1,Mojave
10/7/2014,Missouri,Greene,1,0,1,Greene
10/13/2014,Ohio,Meigs,0,1,1,Meigs
10/16/2014,Illinois,Mchenry,0,2,2,Mchenry
10/17/2014,Michigan,Lenawee,1,0,1,Lenawee
10/18/2014,Pennsylvania,Susquehanna,0,1,1,Susquehanna
10/21/2014,South Carolina,Lancaster,0,0,0,Lancaster
11/13/2014,Virginia,Chesterfield,0,0,0,Chesterfield
12/1/2014,Missouri,Vernon,0,0,0,Vernon
12/1/2014,Pennsylvania,York,0,0,0,York
12/8/2014,Pennsylvania,Armstrong,0,1,1,Armstrong
12/13/2014,New Mexico,Bernalillo,0,0,0,Bernalillo
12/20/2014,Missouri,Bates,0,0,0,Bates
12/28/2014,Virginia,York,2,0,2,York
1/1/2015,Texas,Fort Bend,0,0,0,Fort Bend
1/5/2015,Virginia,Louisa,0,0,0,Louisa
1/9/2015,Illinois,Champaign,0,0,0,Champaign
1/16/2015,Louisiana,Saint Landry,0,0,0,Saint Landry
1/18/2015,Oregon,Linn,0,0,0,Linn
1/22/2015,Missouri,Vernon,0,0,0,Vernon
1/27/2015,Wisconsin,Washington,0,0,0,Washington
2/12/2015,California,Sacramento,0,1,1,Sacramento
2/16/2015,Illinois,Massac,0,0,0,Massac
2/18/2015,Texas,Bexar,0,0,0,Bexar
2/26/2015,Missouri,Franklin,1,0,1,Franklin
2/28/2015,Michigan,Eaton,1,0,1,Eaton
3/2/2015,New Mexico,Mckinley,0,1,1,Mckinley
3/3/2015,Maryland,Anne Arundel,0,0,0,Anne Arundel
3/10/2015,Florida,Marion,0,0,0,Marion
3/12/2015,Washington,Spokane,0,0,0,Spokane
3/15/2015,Wisconsin,Walworth,0,0,0,Walworth
3/20/2015,Wyoming,Natrona,0,0,0,Natrona
3/24/2015,North Dakota,Bottineau,2,0,2,Bottineau
3/24/2015,Georgia,Barrow,0,0,0,Barrow
3/25/2015,Michigan,Bay,0,0,0,Bay
4/1/2015,Colorado,Lincoln,0,0,0,Lincoln
4/8/2015,Minnesota,Carlton,0,0,0,Carlton
4/9/2015,Missouri,Newton,1,0,1,Newton
4/11/2015,Texas,Jefferson,0,0,0,Jefferson
4/11/2015,Missouri,Mississippi County,0,1,1,Mississippi County
4/12/2015,North Carolina,Burke County,1,0,1,Burke County
4/13/2015,Wyoming,Washakie,1,0,1,Washakie
4/15/2015,Michigan,Genesee,0,0,0,Genesee
4/16/2015,Tennessee,Madison,0,1,1,Madison
4/17/2015,Florida,Jackson,0,1,1,Jackson
4/17/2015,Georgia,Bulloch,0,0,0,Bulloch
4/18/2015,Alabama,Elmore,0,3,3,Elmore
4/18/2015,Tennessee,Shelby,0,1,1,Shelby
4/19/2015,Florida,Orange,1,1,2,Orange
4/19/2015,Texas,Harris,0,1,1,Harris
4/19/2015,Alabama,DeKalb,0,0,0,DeKalb
4/19/2015,Arkansas,Pulaski,0,0,0,Pulaski
4/19/2015,Virginia,Greene,0,0,0,Greene
4/19/2015,Ohio,Coshocton,0,1,1,Coshocton
4/19/2015,New Mexico,San Juan,0,1,1,San Juan
4/19/2015,Mississippi,Madison,1,0,1,Madison
4/20/2015,Texas,Smith County,0,2,2,Smith County
4/20/2015,Oklahoma,Muskogee,0,1,1,Muskogee
4/20/2015,Georgia,Columbia,0,0,0,Columbia
4/22/2015,Tennessee,Crockett,0,0,0,Crockett
4/22/2015,Tennessee,Madison,0,0,0,Madison
4/22/2015,Virginia,Isle of Wight,0,0,0,Isle of Wight
4/22/2015,Colorado,Boulder,1,0,1,Boulder
4/22/2015,Colorado,Larimer,0,1,1,Larimer
4/22/2015,North Carolina,Camden,1,0,1,Camden
4/22/2015,Wyoming,Natrona,0,0,0,Natrona
4/22/2015,Louisiana,Caddo Parish,0,0,0,Caddo Parish
4/22/2015,Texas,Harris,1,0,1,Harris
4/23/2015,Wisconsin,Racine,0,0,0,Racine
4/23/2015,Tennessee,Marion,1,0,1,Marion
4/23/2015,Arkansas,Baxter,0,1,1,Baxter
4/23/2015,Florida,Orange,0,0,0,Orange
4/24/2015,California,Stanislaus,0,0,0,Stanislaus
4/24/2015,West Virginia,Harrison,0,0,0,Harrison
4/24/2015,Indiana,Rush,0,0,0,Rush
4/26/2015,Nebraska,Douglas,0,1,1,Douglas
4/26/2015,California,Kings,1,0,1,Kings
4/26/2015,Mississippi,Hancock,0,0,0,Hancock
4/26/2015,Florida,Orange,0,1,1,Orange
4/26/2015,Delaware,New Castle,0,0,0,New Castle
4/26/2015,Tennessee,Blount,0,0,0,Blount
4/27/2015,Wisconsin,Juneau,0,0,0,Juneau
4/28/2015,North Carolina,Columbus,1,0,1,Columbus
4/28/2015,Texas,Panola,1,0,1,Panola
4/29/2015,Wisconsin,Racine,0,1,1,Racine
4/29/2015,Minnesota,Lyon,0,0,0,Lyon
4/29/2015,Florida,Seminole,1,0,1,Seminole
4/29/2015,Tennessee,Knox,1,0,1,Knox
4/29/2015,Florida,Miami-dade,0,0,0,Miami-dade
4/29/2015,Florida,Saint Lucie,0,0,0,Saint Lucie
4/29/2015,Arizona,Pima,1,0,1,Pima
4/29/2015,Virginia,Greensville,1,0,1,Greensville
4/30/2015,Oregon,Jackson,0,0,0,Jackson
4/30/2015,Florida,Putnam,0,0,0,Putnam
4/30/2015,California,Humboldt,0,0,0,Humboldt
4/30/2015,Arkansas,Yell,0,0,0,Yell
4/30/2015,Florida,Saint Johns,0,0,0,Saint Johns
4/30/2015,Tennessee,Shelby,0,0,0,Shelby
5/1/2015,Mississippi,Prentiss,1,0,1,Prentiss
5/1/2015,Oklahoma,Rogers,1,0,1,Rogers
5/1/2015,Louisiana,Lafayette,0,1,1,Lafayette
5/1/2015,Florida,Marion,1,0,1,Marion
5/1/2015,Florida,Orange,0,1,1,Orange
5/1/2015,Alabama,Limestone,0,1,1,Limestone
5/1/2015,Pennsylvania,Lawrence,1,0,1,Lawrence
5/2/2015,Virginia,Franklin,1,0,1,Franklin
5/3/2015,Tennessee,Rutherford,1,0,1,Rutherford
5/3/2015,Alabama,Cherokee,0,1,1,Cherokee
5/3/2015,Virginia,Henrico,0,0,0,Henrico
5/3/2015,Florida,Flagler,0,0,0,Flagler
5/4/2015,Texas,Bexar,1,0,1,Bexar
5/4/2015,California,Los Angeles,1,0,1,Los Angeles
5/4/2015,Florida,Lee,0,0,0,Lee
5/4/2015,Florida,Orange,0,1,1,Orange
5/5/2015,Oregon,Linn,0,0,0,Linn
5/6/2015,New Mexico,Eddy,0,0,0,Eddy
5/6/2015,Pennsylvania,Mercer,1,0,1,Mercer
5/6/2015,Alabama,Tuscaloosa,0,1,1,Tuscaloosa
5/6/2015,Missouri,Saint Louis,1,2,3,Saint Louis
5/6/2015,Florida,Charlotte,0,0,0,Charlotte
5/7/2015,Mississippi,Harrison,0,0,0,Harrison
5/7/2015,California,Fresno,1,0,1,Fresno
5/7/2015,Alabama,Escambia,1,0,1,Escambia
5/7/2015,Georgia,Dekalb,0,1,1,Dekalb
5/7/2015,Texas,Harris,1,0,1,Harris
5/7/2015,Indiana,Porter,0,0,0,Porter
5/7/2015,North Carolina,Alleghany,0,1,1,Alleghany
5/7/2015,Texas,Harris,1,0,1,Harris
5/7/2015,Louisiana,De Soto,0,0,0,De Soto
5/8/2015,Texas,Harris,1,0,1,Harris
5/8/2015,Mississippi,Lamar,0,0,0,Lamar
5/8/2015,North Carolina,Rockingham,0,2,2,Rockingham
5/8/2015,Texas,Harris,0,1,1,Harris
5/8/2015,Virginia,Pittsylvania,1,1,2,Pittsylvania
5/8/2015,Virginia,Botetourt,0,0,0,Botetourt
5/8/2015,New Jersey,Cape May,0,0,0,Cape May
5/9/2015,Missouri,Jasper,0,0,0,Jasper
5/9/2015,Kansas,Johnson County,1,0,1,Johnson County
5/10/2015,North Carolina,Caldwell,0,0,0,Caldwell
5/10/2015,Texas,Williamson,3,0,3,Williamson
5/10/2015,Alabama,Mobile,1,0,1,Mobile
5/11/2015,Texas,Harris,0,1,1,Harris
5/11/2015,South Carolina,Darlington,0,0,0,Darlington
5/11/2015,Colorado,El Paso,0,1,1,El Paso
5/11/2015,Colorado,Pueblo,2,0,2,Pueblo
5/12/2015,Arkansas,Grant,0,0,0,Grant
5/12/2015,Missouri,Greene,0,1,1,Greene
5/12/2015,Tennessee,Shelby,0,1,1,Shelby
5/12/2015,Georgia,Dodge,1,0,1,Dodge
5/12/2015,North Carolina,Catawba,0,0,0,Catawba
5/12/2015,Missouri,Jefferson,0,1,1,Jefferson
5/13/2015,Kentucky,Morgan,0,1,1,Morgan
5/13/2015,North Carolina,Jones,0,1,1,Jones
5/13/2015,Florida,Escambia,0,1,1,Escambia
5/13/2015,Florida,Manatee,0,0,0,Manatee
5/13/2015,Tennessee,Fayette,0,1,1,Fayette
5/14/2015,Georgia,Meriwether,0,1,1,Meriwether
5/14/2015,Oklahoma,Wagoner,0,0,0,Wagoner
5/14/2015,Georgia,Madison,0,0,0,Madison
5/14/2015,Florida,Orange,0,1,1,Orange
5/14/2015,Alabama,Lee,0,0,0,Lee
5/14/2015,Mississippi,Harrison,0,0,0,Harrison
5/14/2015,Missouri,Jefferson,2,0,2,Jefferson
5/15/2015,Arkansas,Johnson,1,1,2,Johnson
5/15/2015,Georgia,Colquitt,0,1,1,Colquitt
5/15/2015,Montana,Beaverhead,0,1,1,Beaverhead
5/16/2015,Oklahoma,Muskogee,0,0,0,Muskogee
5/16/2015,Iowa,Iowa,0,0,0,Iowa
5/16/2015,Michigan,Charlevoix,0,2,2,Charlevoix
5/16/2015,Mississippi,Harrison,0,0,0,Harrison
5/16/2015,Oregon,Linn,0,1,1,Linn
5/16/2015,Florida,Orange,0,1,1,Orange
5/16/2015,Louisiana,Jackson,0,0,0,Jackson
5/16/2015,Colorado,El Paso,0,1,1,El Paso
