date,state_name,state_id,county_name,city_or_county,city,n_killed,n_injured,n_total
4/7/2013,New York,NY,New York,New York,New York,1,3,4
4/22/2013,Illinois,IL,Cook,Chicago,Chicago,0,4,4
7/13/2013,New Jersey,NJ,Mercer,Trenton,Trenton,1,4,5
7/14/2013,Michigan,MI,Kent,Grand Rapids,Grand Rapids,0,5,5
10/21/2013,Pennsylvania,PA,Allegheny,Pittsburgh,Pittsburgh,2,5,7
10/29/2013,South Carolina,SC,Greenwood,Bradley,Bradley,5,0,5
12/15/2013,Florida,FL,Miami-Dade,Homestead,Homestead,1,3,4
1/1/2014,Michigan,MI,Wayne,Detroit,Detroit,1,2,3
1/2/2014,Ohio,OH,Hamilton,Cincinnati,Cincinnati,1,0,1
1/4/2014,Florida,FL,Orange,Orlando,Orlando,0,1,1
1/5/2014,Georgia,GA,Fulton,Atlanta,Atlanta,0,2,2
1/7/2014,New York,NY,Suffolk,Ronkonkoma,Ronkonkoma,0,0,0
1/10/2014,Minnesota,MN,Ramsey,Saint Paul,Saint Paul,0,0,0
1/13/2014,Louisiana,LA,Jefferson,Westwego,Westwego,0,1,1
1/14/2014,Nebraska,NE,Douglas,Omaha,Omaha,0,0,0
1/14/2014,Ohio,OH,Hamilton,Cincinnati,Cincinnati,0,2,2
1/15/2014,Pennsylvania,PA,Allegheny,Pittsburgh,Pittsburgh,2,0,2
1/17/2014,Kentucky,KY,McCracken,Paducah,Paducah,1,0,1
1/19/2014,Louisiana,LA,Jefferson,Gretna,Gretna,0,1,1
1/20/2014,Louisiana,LA,Jefferson,Westwego,Westwego,0,2,2
1/22/2014,Wisconsin,WI,Waukesha,Oconomowoc,Oconomowoc,1,0,1
1/22/2014,Illinois,IL,Cook,Chicago Heights,Chicago Heights,1,0,1
1/23/2014,Georgia,GA,Gwinnett,Suwanee,Suwanee,0,0,0
1/23/2014,Ohio,OH,Franklin,Columbus,Columbus,1,0,1
1/30/2014,Ohio,OH,Cuyahoga,Cleveland,Cleveland,0,1,1
2/3/2014,Maryland,MD,Prince George's,Hyattsville,Hyattsville,0,1,1
2/4/2014,New York,NY,Monroe,Rochester,Rochester,0,0,0
2/6/2014,Arkansas,AR,Prairie,De Valls Bluff,De Valls Bluff,1,0,1
2/7/2014,South Carolina,SC,York,Fort Mill,Fort Mill,0,1,1
2/8/2014,Ohio,OH,Hamilton,Cincinnati,Cincinnati,0,0,0
