,date,state,my_citi,n_killed,n_injured,n_total,city_ascii,state_name,state_id,county_name
24,1/27/2014,New Jersey,Neptune,0,1,1,,,,
25,1/28/2014,Illinois,Dekalb,1,1,2,,,,
28,2/3/2014,Virginia,Mc Lean,1,0,1,,,,
33,2/9/2014,New York,Corona,0,1,1,,,,
43,3/6/2014,Washington,Tumtum,1,0,1,,,,
48,3/11/2014,Massachusetts,Middleboro,0,0,0,,,,
52,3/17/2014,New Jersey,Neptune,0,1,1,,,,
53,3/19/2014,Maryland,Curtis Bay,2,0,2,,,,
54,3/24/2014,Idaho,Coeur D Alene,2,0,2,,,,
66,4/19/2014,New York,Corona,1,0,1,,,,
70,5/4/2014,Oregon,Mount Hood Parkdale,1,0,1,,,,
71,5/8/2014,Arkansas,Hot Springs National Park,0,0,0,,,,
72,5/8/2014,Arkansas,Hot Springs National Park,0,0,0,,,,
73,5/11/2014,Pennsylvania,Mc Kees Rocks,0,1,1,,,,
75,5/17/2014,Arkansas,Hot Springs National Park,0,1,1,,,,
79,5/22/2014,Maryland,Brooklyn,0,1,1,,,,
83,5/26/2014,New Jersey,Neptune,0,2,2,,,,
88,5/30/2014,Michigan,Highland,0,0,0,,,,
100,6/16/2014,New Jersey,Neptune,0,0,0,,,,
101,6/16/2014,Pennsylvania,Wilkes Barre,0,0,0,,,,
102,6/17/2014,New Jersey,Neptune,0,0,0,,,,
113,7/4/2014,New Jersey,Neptune,0,0,0,,,,
129,7/20/2014,North Carolina,Winston Salem,1,2,3,,,,
130,7/20/2014,Illinois,Lovejoy,0,1,1,,,,
132,7/22/2014,Arkansas,Hot Springs National Park,0,1,1,,,,
134,7/26/2014,Pennsylvania,Mc Kees Rocks,1,0,1,,,,
150,8/13/2014,New Mexico,Zuni,0,0,0,,,,
152,8/16/2014,Oklahoma,Mcalester,1,0,1,,,,
157,8/25/2014,Arizona,Willow Beach,1,0,1,,,,
158,8/26/2014,New York,Corona,0,1,1,,,,
162,9/9/2014,Louisiana,La Place,0,0,0,,,,
166,9/14/2014,Louisiana,La Place,1,0,1,,,,
167,9/15/2014,Louisiana,La Place,0,0,0,,,,
169,9/21/2014,Michigan,Drummond Island,1,0,1,,,,
173,10/14/2014,California,Pacoima,1,0,1,,,,
201,12/3/2014,North Carolina,Winston Salem,0,2,2,,,,
204,12/6/2014,New York,Corona,0,0,0,,,,
206,12/12/2014,Louisiana,La Place,0,0,0,,,,
207,12/14/2014,Illinois,Lovejoy,0,1,1,,,,
215,12/30/2014,Louisiana,La Place,0,1,1,,,,
220,1/6/2015,New York,Arverne,0,2,2,,,,
221,1/6/2015,New York,Corona,1,1,2,,,,
223,1/8/2015,North Carolina,Winston Salem,0,1,1,,,,
227,1/12/2015,Michigan,Oakland,0,1,1,,,,
234,1/17/2015,North Carolina,Winston Salem,0,1,1,,,,
240,1/21/2015,New York,Corona,0,0,0,,,,
244,1/24/2015,New York,Arverne,4,1,5,,,,
246,1/25/2015,New York,Corona,2,0,2,,,,
248,1/26/2015,Massachusetts,Middleboro,0,0,0,,,,
250,1/28/2015,New York,De Ruyter,1,1,2,,,,
263,2/11/2015,North Carolina,Winston Salem,0,1,1,,,,
265,2/13/2015,New York,Arverne,1,1,2,,,,
274,3/6/2015,Illinois,Lovejoy,0,2,2,,,,
275,3/6/2015,New York,Corona,2,0,2,,,,
288,3/26/2015,New York,Corona,1,0,1,,,,
294,3/30/2015,Maryland,Fort George G Meade,1,1,2,,,,
297,3/31/2015,Idaho,Coeur D Alene,0,0,0,,,,
298,3/31/2015,New York,Corona,1,0,1,,,,
303,4/4/2015,Louisiana,La Place,0,0,0,,,,
305,4/8/2015,Illinois,Lovejoy,1,0,1,,,,
307,4/13/2015,Idaho,Coeur D Alene,0,0,0,,,,
323,4/24/2015,New York,Jamaica,0,0,0,,,,
328,4/28/2015,New Jersey,Neptune,0,0,0,,,,
339,5/5/2015,Idaho,Coeur D Alene,1,0,1,,,,
341,5/5/2015,New York,Corona,1,0,1,,,,
342,5/6/2015,Arkansas,Hot Springs National Park,0,0,0,,,,
351,5/11/2015,North Carolina,Winston Salem,1,0,1,,,,
355,5/17/2015,New York,Corona,1,1,2,,,,
