,n_killed,latitude,longitude,output
0,8,29.7555,-82.8626,"{ lat: 29.7555, lng: -82.8626, count: 8 }"
1,7,40.2459,-75.282,"{ lat: 40.2459, lng: -75.282, count: 7 }"
2,6,30.0405,-95.4424,"{ lat: 30.0405, lng: -95.4424, count: 6 }"
3,5,40.1109,-111.665,"{ lat: 40.1109, lng: -111.665, count: 5 }"
4,5,36.7843,-81.7848,"{ lat: 36.7843, lng: -81.7848, count: 5 }"
5,5,36.1666,-115.06200000000001,"{ lat: 36.1666, lng: -115.06200000000001, count: 5 }"
6,5,26.4815,-81.8213,"{ lat: 26.4815, lng: -81.8213, count: 5 }"
7,5,43.4981,-70.449,"{ lat: 43.4981, lng: -70.449, count: 5 }"
8,5,38.5631,-77.9829,"{ lat: 38.5631, lng: -77.9829, count: 5 }"
9,5,48.092,-122.155,"{ lat: 48.092, lng: -122.155, count: 5 }"
10,5,39.6855,-79.8588,"{ lat: 39.6855, lng: -79.8588, count: 5 }"
11,4,34.0942,-81.1525,"{ lat: 34.0942, lng: -81.1525, count: 4 }"
12,4,29.973000000000003,-95.6542,"{ lat: 29.973000000000003, lng: -95.6542, count: 4 }"
13,4,41.2236,-84.339,"{ lat: 41.2236, lng: -84.339, count: 4 }"
14,4,39.717,-86.1136,"{ lat: 39.717, lng: -86.1136, count: 4 }"
15,4,41.4838,-120.545,"{ lat: 41.4838, lng: -120.545, count: 4 }"
16,4,41.7142,-87.7481,"{ lat: 41.7142, lng: -87.7481, count: 4 }"
17,4,31.133000000000003,-97.7944,"{ lat: 31.133000000000003, lng: -97.7944, count: 4 }"
18,4,35.8423,-90.7043,"{ lat: 35.8423, lng: -90.7043, count: 4 }"
19,4,28.0985,-82.46700000000001,"{ lat: 28.0985, lng: -82.46700000000001, count: 4 }"
20,4,34.080999999999996,-117.74,"{ lat: 34.080999999999996, lng: -117.74, count: 4 }"
21,4,34.4144,-119.85700000000001,"{ lat: 34.4144, lng: -119.85700000000001, count: 4 }"
22,4,33.5904,-117.656,"{ lat: 33.5904, lng: -117.656, count: 4 }"
23,4,37.236,-77.4669,"{ lat: 37.236, lng: -77.4669, count: 4 }"
24,4,36.1332,-95.8551,"{ lat: 36.1332, lng: -95.8551, count: 4 }"
25,4,41.8815,-87.9329,"{ lat: 41.8815, lng: -87.9329, count: 4 }"
26,4,36.1329,-95.8553,"{ lat: 36.1329, lng: -95.8553, count: 4 }"
27,4,37.509,-77.4748,"{ lat: 37.509, lng: -77.4748, count: 4 }"
28,4,42.6914,-73.8712,"{ lat: 42.6914, lng: -73.8712, count: 4 }"
29,4,36.8285,-87.8527,"{ lat: 36.8285, lng: -87.8527, count: 4 }"
30,4,37.2432,-93.2613,"{ lat: 37.2432, lng: -93.2613, count: 4 }"
31,4,39.8751,-74.6662,"{ lat: 39.8751, lng: -74.6662, count: 4 }"
32,4,45.8562,-97.1072,"{ lat: 45.8562, lng: -97.1072, count: 4 }"
33,4,41.518,-81.6234,"{ lat: 41.518, lng: -81.6234, count: 4 }"
34,4,42.2938,-89.1072,"{ lat: 42.2938, lng: -89.1072, count: 4 }"
35,4,43.2367,-77.5261,"{ lat: 43.2367, lng: -77.5261, count: 4 }"
36,3,33.4464,-112.258,"{ lat: 33.4464, lng: -112.258, count: 3 }"
37,3,31.489,-100.492,"{ lat: 31.489, lng: -100.492, count: 3 }"
