,date,state,city_or_county,n_killed,n_injured,n_total,county
1203,8/7/2014,Pennsylvania,Abbott Township,0,1,1,
605,5/1/2014,Maine,Acton,0,0,0,
875,6/23/2014,Indiana,Acton,0,0,0,
2641,4/29/2015,Maine,Acton,1,0,1,
3746,2/21/2016,Massachusetts,Acushnet,0,0,0,
3747,2/21/2016,Massachusetts,Acushnet,0,0,0,
1995,12/9/2014,South Carolina,Adams Run,0,1,1,
5234,5/3/2017,South Carolina,Adams Run,1,0,1,
6065,12/3/2017,South Carolina,Adams Run,0,0,0,
6151,12/27/2017,South Carolina,Adams Run,0,0,0,
6423,3/15/2018,South Carolina,Adams Run,1,0,1,
1411,9/9/2014,Alabama,Adger,0,1,1,
5306,5/19/2017,Alabama,Adger,0,0,0,
5985,11/13/2017,Alabama,Adger,1,0,1,
6486,3/29/2018,Texas,Adkins,1,0,1,
656,5/9/2014,Ohio,Adrian,0,1,1,
2799,5/29/2015,Ohio,Adrian,1,0,1,
755,5/27/2014,Virginia,Afton,0,1,1,
2897,6/24/2015,Tennessee,Afton,0,0,0,
3393,11/14/2015,Tennessee,Afton,0,0,0,
4139,6/24/2016,Tennessee,Afton,0,0,0,
4903,1/26/2017,Virginia,Afton,0,0,0,
5492,7/9/2017,Tennessee,Afton,0,1,1,
5509,7/15/2017,Tennessee,Afton,0,0,0,
5610,8/12/2017,Virginia,Afton,1,0,1,
2454,3/23/2015,Idaho,Ahsahka,1,0,1,
3275,10/11/2015,Minnesota,Aitken,0,0,0,
1835,11/10/2014,Hawaii,Ala Moana,0,0,0,
1817,11/7/2014,Louisiana,Albany ,0,0,0,
5979,11/11/2017,Maine,Albion,0,0,0,
2913,7/1/2015,Vermont,Alburgh,0,0,0,
3067,8/13/2015,Vermont,Alburgh,0,1,1,
4284,8/5/2016,Virginia,Aldie,1,0,1,
5566,8/1/2017,Virginia,Aldie,0,0,0,
5699,9/3/2017,Virginia,Aldie,0,0,0,
6279,1/31/2018,Virginia,Aldie,2,0,2,
894,6/27/2014,Pennsylvania,Aleppo,1,0,1,
899,6/27/2014,Pennsylvania,Aleppo,1,0,1,
1384,9/5/2014,Alabama,Alexander City ,0,0,0,
3766,2/29/2016,North Carolina,Alexis,3,0,3,
